[2017-01-06 14:57:55.176] [TRACE] 新蓝网 - DealWith instantiation ...
[2017-01-06 14:58:20.527] [DEBUG] 新蓝网 - 新蓝网 272467 加入缓存队列
[2017-01-06 14:58:21.383] [DEBUG] 新蓝网 - 新蓝网 272466 加入缓存队列
[2017-01-06 14:58:21.766] [DEBUG] 新蓝网 - 新蓝网 272465 加入缓存队列
[2017-01-06 14:58:21.897] [DEBUG] 新蓝网 - 新蓝网 272464 加入缓存队列
[2017-01-06 14:58:22.006] [DEBUG] 新蓝网 - 新蓝网 272463 加入缓存队列
[2017-01-06 14:58:22.121] [DEBUG] 新蓝网 - 新蓝网 272462 加入缓存队列
[2017-01-06 14:58:22.236] [DEBUG] 新蓝网 - 新蓝网 272461 加入缓存队列
[2017-01-06 14:58:22.346] [DEBUG] 新蓝网 - 新蓝网 272460 加入缓存队列
[2017-01-06 14:58:22.469] [DEBUG] 新蓝网 - 新蓝网 272459 加入缓存队列
[2017-01-06 14:58:22.597] [DEBUG] 新蓝网 - 新蓝网 272458 加入缓存队列
[2017-01-06 14:58:22.938] [DEBUG] 新蓝网 - 新蓝网 272457 加入缓存队列
[2017-01-06 14:58:23.047] [DEBUG] 新蓝网 - 新蓝网 272456 加入缓存队列
[2017-01-06 14:58:23.159] [DEBUG] 新蓝网 - 新蓝网 268834 加入缓存队列
[2017-01-06 14:58:23.282] [DEBUG] 新蓝网 - 新蓝网 268833 加入缓存队列
[2017-01-06 14:58:23.400] [DEBUG] 新蓝网 - 新蓝网 268832 加入缓存队列
[2017-01-06 14:58:23.512] [DEBUG] 新蓝网 - 新蓝网 268831 加入缓存队列
[2017-01-06 14:58:23.648] [DEBUG] 新蓝网 - 新蓝网 268830 加入缓存队列
[2017-01-06 14:58:23.769] [DEBUG] 新蓝网 - 新蓝网 268829 加入缓存队列
[2017-01-06 14:58:24.557] [DEBUG] 新蓝网 - 新蓝网 268828 加入缓存队列
[2017-01-06 14:58:24.680] [DEBUG] 新蓝网 - 新蓝网 268827 加入缓存队列
[2017-01-06 14:58:24.786] [DEBUG] 新蓝网 - 新蓝网 268826 加入缓存队列
