[2017-01-06 14:51:57.310] [TRACE] 新蓝网 - DealWith instantiation ...
[2017-01-06 14:51:57.320] [TRACE] 新蓝网 - spiderCore instantiation ...
[2017-01-06 14:51:57.320] [TRACE] 新蓝网 - 启动函数
[2017-01-06 14:51:57.350] [DEBUG] 新蓝网 - 任务信息数据库连接建立...成功
[2017-01-06 14:51:57.350] [DEBUG] 新蓝网 - 缓存队列数据库连接建立...成功
[2017-01-06 14:51:57.350] [DEBUG] 新蓝网 - 创建数据库连接完毕
[2017-01-06 14:51:57.682] [DEBUG] 新蓝网 - 新蓝网 286423 加入缓存队列
[2017-01-06 14:51:57.790] [DEBUG] 新蓝网 - 新蓝网 286421 加入缓存队列
[2017-01-06 14:51:58.147] [DEBUG] 新蓝网 - 新蓝网 286420 加入缓存队列
[2017-01-06 14:51:58.472] [DEBUG] 新蓝网 - 新蓝网 286419 加入缓存队列
[2017-01-06 14:51:58.800] [DEBUG] 新蓝网 - 新蓝网 286418 加入缓存队列
[2017-01-06 14:52:00.311] [DEBUG] 新蓝网 - 新蓝网 286417 加入缓存队列
[2017-01-06 14:52:00.544] [DEBUG] 新蓝网 - 新蓝网 286416 加入缓存队列
[2017-01-06 14:52:00.912] [DEBUG] 新蓝网 - 新蓝网 286415 加入缓存队列
[2017-01-06 14:52:05.413] [DEBUG] 新蓝网 - 新蓝网 286414 加入缓存队列
[2017-01-06 14:52:05.537] [DEBUG] 新蓝网 - 新蓝网 286413 加入缓存队列
[2017-01-06 14:52:05.659] [DEBUG] 新蓝网 - 新蓝网 286412 加入缓存队列
[2017-01-06 14:52:05.779] [DEBUG] 新蓝网 - 新蓝网 286411 加入缓存队列
[2017-01-06 14:52:05.893] [DEBUG] 新蓝网 - 新蓝网 286410 加入缓存队列
[2017-01-06 14:52:06.014] [DEBUG] 新蓝网 - 新蓝网 286409 加入缓存队列
[2017-01-06 14:52:07.329] [DEBUG] 新蓝网 - 新蓝网 286408 加入缓存队列
[2017-01-06 14:52:07.441] [DEBUG] 新蓝网 - 新蓝网 286407 加入缓存队列
[2017-01-06 14:52:07.575] [DEBUG] 新蓝网 - 新蓝网 286406 加入缓存队列
[2017-01-06 14:52:07.682] [DEBUG] 新蓝网 - 新蓝网 280098 加入缓存队列
[2017-01-06 14:52:07.789] [DEBUG] 新蓝网 - 新蓝网 280097 加入缓存队列
[2017-01-06 14:52:07.915] [DEBUG] 新蓝网 - 新蓝网 280096 加入缓存队列
[2017-01-06 14:52:08.040] [DEBUG] 新蓝网 - 新蓝网 280095 加入缓存队列
[2017-01-06 14:52:08.169] [DEBUG] 新蓝网 - 新蓝网 280094 加入缓存队列
[2017-01-06 14:52:08.283] [DEBUG] 新蓝网 - 新蓝网 280093 加入缓存队列
[2017-01-06 14:52:08.396] [DEBUG] 新蓝网 - 新蓝网 279645 加入缓存队列
[2017-01-06 14:52:08.520] [DEBUG] 新蓝网 - 新蓝网 279644 加入缓存队列
[2017-01-06 14:52:08.641] [DEBUG] 新蓝网 - 新蓝网 279643 加入缓存队列
[2017-01-06 14:52:08.760] [DEBUG] 新蓝网 - 新蓝网 279642 加入缓存队列
[2017-01-06 14:52:10.060] [DEBUG] 新蓝网 - 新蓝网 279641 加入缓存队列
[2017-01-06 14:52:10.189] [DEBUG] 新蓝网 - 新蓝网 279640 加入缓存队列
[2017-01-06 14:52:10.309] [DEBUG] 新蓝网 - 新蓝网 279639 加入缓存队列
[2017-01-06 14:52:10.427] [DEBUG] 新蓝网 - 新蓝网 279638 加入缓存队列
[2017-01-06 14:52:10.565] [DEBUG] 新蓝网 - 新蓝网 279637 加入缓存队列
[2017-01-06 14:52:10.673] [DEBUG] 新蓝网 - 新蓝网 279636 加入缓存队列
[2017-01-06 14:52:10.781] [DEBUG] 新蓝网 - 新蓝网 279635 加入缓存队列
[2017-01-06 14:52:10.887] [DEBUG] 新蓝网 - 新蓝网 279634 加入缓存队列
[2017-01-06 14:52:11.011] [DEBUG] 新蓝网 - 新蓝网 279633 加入缓存队列
[2017-01-06 14:52:11.129] [DEBUG] 新蓝网 - 新蓝网 279632 加入缓存队列
[2017-01-06 14:52:11.243] [DEBUG] 新蓝网 - 新蓝网 279631 加入缓存队列
[2017-01-06 14:52:11.351] [DEBUG] 新蓝网 - 新蓝网 279630 加入缓存队列
[2017-01-06 14:52:11.467] [DEBUG] 新蓝网 - 新蓝网 279629 加入缓存队列
[2017-01-06 14:52:11.809] [DEBUG] 新蓝网 - 新蓝网 279628 加入缓存队列
[2017-01-06 14:52:11.921] [DEBUG] 新蓝网 - 新蓝网 276544 加入缓存队列
[2017-01-06 14:52:12.040] [DEBUG] 新蓝网 - 新蓝网 275530 加入缓存队列
[2017-01-06 14:52:12.166] [DEBUG] 新蓝网 - 新蓝网 275529 加入缓存队列
[2017-01-06 14:52:12.289] [DEBUG] 新蓝网 - 新蓝网 275528 加入缓存队列
[2017-01-06 14:52:12.405] [DEBUG] 新蓝网 - 新蓝网 275527 加入缓存队列
[2017-01-06 14:52:12.540] [DEBUG] 新蓝网 - 新蓝网 275526 加入缓存队列
[2017-01-06 14:52:12.651] [DEBUG] 新蓝网 - 新蓝网 275525 加入缓存队列
[2017-01-06 14:52:13.921] [DEBUG] 新蓝网 - 新蓝网 275524 加入缓存队列
[2017-01-06 14:52:20.442] [DEBUG] 新蓝网 - 新蓝网 275523 加入缓存队列
[2017-01-06 14:52:20.564] [DEBUG] 新蓝网 - 新蓝网 275522 加入缓存队列
[2017-01-06 14:52:20.682] [DEBUG] 新蓝网 - 新蓝网 275521 加入缓存队列
[2017-01-06 14:52:20.789] [DEBUG] 新蓝网 - 新蓝网 275520 加入缓存队列
[2017-01-06 14:52:20.905] [DEBUG] 新蓝网 - 新蓝网 275519 加入缓存队列
[2017-01-06 14:52:21.257] [DEBUG] 新蓝网 - 新蓝网 275518 加入缓存队列
[2017-01-06 14:52:21.382] [DEBUG] 新蓝网 - 新蓝网 275517 加入缓存队列
[2017-01-06 14:52:21.504] [DEBUG] 新蓝网 - 新蓝网 275516 加入缓存队列
[2017-01-06 14:52:21.613] [DEBUG] 新蓝网 - 新蓝网 272470 加入缓存队列
[2017-01-06 14:52:21.741] [DEBUG] 新蓝网 - 新蓝网 272469 加入缓存队列
[2017-01-06 14:52:21.872] [DEBUG] 新蓝网 - 新蓝网 272468 加入缓存队列
[2017-01-06 14:52:21.982] [DEBUG] 新蓝网 - 新蓝网 272467 加入缓存队列
[2017-01-06 14:52:22.100] [DEBUG] 新蓝网 - 新蓝网 272466 加入缓存队列
[2017-01-06 14:52:22.215] [DEBUG] 新蓝网 - 新蓝网 272465 加入缓存队列
[2017-01-06 14:52:22.340] [DEBUG] 新蓝网 - 新蓝网 272464 加入缓存队列
[2017-01-06 14:52:23.634] [DEBUG] 新蓝网 - 新蓝网 272463 加入缓存队列
[2017-01-06 14:52:23.780] [DEBUG] 新蓝网 - 新蓝网 272462 加入缓存队列
[2017-01-06 14:52:23.892] [DEBUG] 新蓝网 - 新蓝网 272461 加入缓存队列
[2017-01-06 14:52:24.011] [DEBUG] 新蓝网 - 新蓝网 272460 加入缓存队列
[2017-01-06 14:52:24.331] [DEBUG] 新蓝网 - 新蓝网 272459 加入缓存队列
[2017-01-06 14:52:24.442] [DEBUG] 新蓝网 - 新蓝网 272458 加入缓存队列
[2017-01-06 14:52:25.621] [DEBUG] 新蓝网 - 新蓝网 272457 加入缓存队列
[2017-01-06 14:52:25.730] [DEBUG] 新蓝网 - 新蓝网 272456 加入缓存队列
[2017-01-06 14:52:25.856] [DEBUG] 新蓝网 - 新蓝网 268834 加入缓存队列
[2017-01-06 14:52:25.980] [DEBUG] 新蓝网 - 新蓝网 268833 加入缓存队列
[2017-01-06 14:52:26.096] [DEBUG] 新蓝网 - 新蓝网 268832 加入缓存队列
[2017-01-06 14:52:27.415] [DEBUG] 新蓝网 - 新蓝网 268831 加入缓存队列
[2017-01-06 14:52:27.530] [DEBUG] 新蓝网 - 新蓝网 268830 加入缓存队列
[2017-01-06 14:52:27.639] [DEBUG] 新蓝网 - 新蓝网 268829 加入缓存队列
[2017-01-06 14:52:27.756] [DEBUG] 新蓝网 - 新蓝网 268828 加入缓存队列
[2017-01-06 14:52:27.881] [DEBUG] 新蓝网 - 新蓝网 268827 加入缓存队列
[2017-01-06 14:52:28.011] [DEBUG] 新蓝网 - 新蓝网 268826 加入缓存队列
[2017-01-06 14:52:28.168] [DEBUG] 新蓝网 - 新蓝网 268825 加入缓存队列
[2017-01-06 14:52:29.593] [DEBUG] 新蓝网 - 新蓝网 268824 加入缓存队列
[2017-01-06 14:52:30.779] [DEBUG] 新蓝网 - 新蓝网 268823 加入缓存队列
[2017-01-06 14:52:30.907] [DEBUG] 新蓝网 - 新蓝网 264818 加入缓存队列
[2017-01-06 14:52:31.027] [DEBUG] 新蓝网 - 新蓝网 264817 加入缓存队列
[2017-01-06 14:52:31.151] [DEBUG] 新蓝网 - 新蓝网 264816 加入缓存队列
[2017-01-06 14:52:31.275] [DEBUG] 新蓝网 - 新蓝网 264815 加入缓存队列
[2017-01-06 14:52:31.399] [DEBUG] 新蓝网 - 新蓝网 264814 加入缓存队列
[2017-01-06 14:52:31.509] [DEBUG] 新蓝网 - 新蓝网 264813 加入缓存队列
[2017-01-06 14:52:31.618] [DEBUG] 新蓝网 - 新蓝网 264810 加入缓存队列
[2017-01-06 14:52:31.738] [DEBUG] 新蓝网 - 新蓝网 264809 加入缓存队列
[2017-01-06 14:52:32.087] [DEBUG] 新蓝网 - 新蓝网 264808 加入缓存队列
[2017-01-06 14:52:32.206] [DEBUG] 新蓝网 - 新蓝网 264807 加入缓存队列
[2017-01-06 14:52:32.340] [DEBUG] 新蓝网 - 新蓝网 264806 加入缓存队列
[2017-01-06 14:52:32.472] [DEBUG] 新蓝网 - 新蓝网 264805 加入缓存队列
[2017-01-06 14:52:32.594] [DEBUG] 新蓝网 - 新蓝网 264804 加入缓存队列
[2017-01-06 14:52:32.708] [DEBUG] 新蓝网 - 新蓝网 262575 加入缓存队列
[2017-01-06 14:52:32.842] [DEBUG] 新蓝网 - 新蓝网 262574 加入缓存队列
[2017-01-06 14:52:32.952] [DEBUG] 新蓝网 - 100
[2017-01-06 14:52:32.952] [DEBUG] 新蓝网 - undefined
[2017-01-06 14:52:32.952] [DEBUG] 新蓝网 - end
[2017-01-06 14:52:32.952] [DEBUG] 新蓝网 - 新蓝网 262573 加入缓存队列
