[2017-01-06 14:53:08.772] [TRACE] 新蓝网 - DealWith instantiation ...
[2017-01-06 14:53:08.782] [TRACE] 新蓝网 - spiderCore instantiation ...
[2017-01-06 14:53:08.782] [TRACE] 新蓝网 - 启动函数
[2017-01-06 14:53:08.812] [DEBUG] 新蓝网 - 任务信息数据库连接建立...成功
[2017-01-06 14:53:08.822] [DEBUG] 新蓝网 - 缓存队列数据库连接建立...成功
[2017-01-06 14:53:08.822] [DEBUG] 新蓝网 - 创建数据库连接完毕
[2017-01-06 14:53:09.112] [DEBUG] 新蓝网 - 新蓝网 286423 加入缓存队列
[2017-01-06 14:53:09.438] [DEBUG] 新蓝网 - 新蓝网 286421 加入缓存队列
[2017-01-06 14:53:09.552] [DEBUG] 新蓝网 - 新蓝网 286420 加入缓存队列
[2017-01-06 14:53:09.726] [DEBUG] 新蓝网 - 新蓝网 286419 加入缓存队列
[2017-01-06 14:53:09.889] [DEBUG] 新蓝网 - 新蓝网 286418 加入缓存队列
[2017-01-06 14:53:10.011] [DEBUG] 新蓝网 - 新蓝网 286417 加入缓存队列
[2017-01-06 14:53:10.141] [DEBUG] 新蓝网 - 新蓝网 286416 加入缓存队列
[2017-01-06 14:53:10.272] [DEBUG] 新蓝网 - 新蓝网 286415 加入缓存队列
[2017-01-06 14:53:10.414] [DEBUG] 新蓝网 - 新蓝网 286414 加入缓存队列
[2017-01-06 14:53:10.567] [DEBUG] 新蓝网 - 新蓝网 286413 加入缓存队列
[2017-01-06 14:53:10.691] [DEBUG] 新蓝网 - 新蓝网 286412 加入缓存队列
[2017-01-06 14:53:12.172] [DEBUG] 新蓝网 - 新蓝网 286411 加入缓存队列
[2017-01-06 14:53:12.282] [DEBUG] 新蓝网 - 新蓝网 286410 加入缓存队列
[2017-01-06 14:53:12.433] [DEBUG] 新蓝网 - 新蓝网 286409 加入缓存队列
[2017-01-06 14:53:12.561] [DEBUG] 新蓝网 - 新蓝网 286408 加入缓存队列
[2017-01-06 14:53:12.682] [DEBUG] 新蓝网 - 新蓝网 286407 加入缓存队列
[2017-01-06 14:53:12.801] [DEBUG] 新蓝网 - 新蓝网 286406 加入缓存队列
[2017-01-06 14:53:12.933] [DEBUG] 新蓝网 - 新蓝网 280098 加入缓存队列
[2017-01-06 14:53:13.052] [DEBUG] 新蓝网 - 新蓝网 280097 加入缓存队列
[2017-01-06 14:53:13.182] [DEBUG] 新蓝网 - 新蓝网 280096 加入缓存队列
[2017-01-06 14:53:20.748] [DEBUG] 新蓝网 - 新蓝网 280095 加入缓存队列
[2017-01-06 14:53:20.882] [DEBUG] 新蓝网 - 新蓝网 280094 加入缓存队列
[2017-01-06 14:53:20.998] [DEBUG] 新蓝网 - 新蓝网 280093 加入缓存队列
[2017-01-06 14:53:21.113] [DEBUG] 新蓝网 - 新蓝网 279645 加入缓存队列
[2017-01-06 14:53:21.229] [DEBUG] 新蓝网 - 新蓝网 279644 加入缓存队列
[2017-01-06 14:53:21.557] [DEBUG] 新蓝网 - 新蓝网 279643 加入缓存队列
[2017-01-06 14:53:21.923] [DEBUG] 新蓝网 - 新蓝网 279642 加入缓存队列
[2017-01-06 14:53:22.033] [DEBUG] 新蓝网 - 新蓝网 279641 加入缓存队列
[2017-01-06 14:53:22.158] [DEBUG] 新蓝网 - 新蓝网 279640 加入缓存队列
[2017-01-06 14:53:23.650] [DEBUG] 新蓝网 - 新蓝网 279639 加入缓存队列
[2017-01-06 14:53:24.831] [DEBUG] 新蓝网 - 新蓝网 279638 加入缓存队列
[2017-01-06 14:53:25.008] [DEBUG] 新蓝网 - 新蓝网 279637 加入缓存队列
[2017-01-06 14:53:25.141] [DEBUG] 新蓝网 - 新蓝网 279636 加入缓存队列
[2017-01-06 14:53:25.448] [DEBUG] 新蓝网 - 新蓝网 279635 加入缓存队列
[2017-01-06 14:53:25.581] [DEBUG] 新蓝网 - 新蓝网 279634 加入缓存队列
[2017-01-06 14:53:25.693] [DEBUG] 新蓝网 - 新蓝网 279633 加入缓存队列
[2017-01-06 14:53:25.810] [DEBUG] 新蓝网 - 新蓝网 279632 加入缓存队列
[2017-01-06 14:53:25.914] [DEBUG] 新蓝网 - 新蓝网 279631 加入缓存队列
[2017-01-06 14:53:26.041] [DEBUG] 新蓝网 - 新蓝网 279630 加入缓存队列
[2017-01-06 14:53:26.151] [DEBUG] 新蓝网 - 新蓝网 279629 加入缓存队列
[2017-01-06 14:53:26.476] [DEBUG] 新蓝网 - 新蓝网 279628 加入缓存队列
[2017-01-06 14:53:26.648] [DEBUG] 新蓝网 - 新蓝网 276544 加入缓存队列
[2017-01-06 14:53:26.771] [DEBUG] 新蓝网 - 新蓝网 275530 加入缓存队列
[2017-01-06 14:53:26.875] [DEBUG] 新蓝网 - 新蓝网 275529 加入缓存队列
[2017-01-06 14:53:26.972] [DEBUG] 新蓝网 - 新蓝网 275528 加入缓存队列
[2017-01-06 14:53:27.106] [DEBUG] 新蓝网 - 新蓝网 275527 加入缓存队列
[2017-01-06 14:53:27.244] [DEBUG] 新蓝网 - 新蓝网 275526 加入缓存队列
[2017-01-06 14:53:27.367] [DEBUG] 新蓝网 - 新蓝网 275525 加入缓存队列
[2017-01-06 14:53:27.472] [DEBUG] 新蓝网 - 新蓝网 275524 加入缓存队列
[2017-01-06 14:53:27.831] [DEBUG] 新蓝网 - 新蓝网 275523 加入缓存队列
[2017-01-06 14:53:27.952] [DEBUG] 新蓝网 - 新蓝网 275522 加入缓存队列
[2017-01-06 14:53:28.074] [DEBUG] 新蓝网 - 新蓝网 275521 加入缓存队列
[2017-01-06 14:53:28.196] [DEBUG] 新蓝网 - 新蓝网 275520 加入缓存队列
[2017-01-06 14:53:28.321] [DEBUG] 新蓝网 - 新蓝网 275519 加入缓存队列
[2017-01-06 14:53:28.423] [DEBUG] 新蓝网 - 新蓝网 275518 加入缓存队列
[2017-01-06 14:53:28.541] [DEBUG] 新蓝网 - 新蓝网 275517 加入缓存队列
[2017-01-06 14:53:28.671] [DEBUG] 新蓝网 - 新蓝网 275516 加入缓存队列
[2017-01-06 14:53:28.781] [DEBUG] 新蓝网 - 新蓝网 272470 加入缓存队列
[2017-01-06 14:53:30.004] [DEBUG] 新蓝网 - 新蓝网 272469 加入缓存队列
[2017-01-06 14:53:30.122] [DEBUG] 新蓝网 - 新蓝网 272468 加入缓存队列
[2017-01-06 14:53:30.251] [DEBUG] 新蓝网 - 新蓝网 272467 加入缓存队列
[2017-01-06 14:53:30.437] [DEBUG] 新蓝网 - 新蓝网 272466 加入缓存队列
[2017-01-06 14:53:31.867] [DEBUG] 新蓝网 - 新蓝网 272465 加入缓存队列
[2017-01-06 14:53:31.972] [DEBUG] 新蓝网 - 新蓝网 272464 加入缓存队列
