[2017-01-06 14:35:59.319] [TRACE] 新蓝网 - DealWith instantiation ...
[2017-01-06 14:35:59.347] [TRACE] 新蓝网 - spiderCore instantiation ...
[2017-01-06 14:35:59.350] [TRACE] 新蓝网 - 启动函数
[2017-01-06 14:35:59.382] [DEBUG] 新蓝网 - 任务信息数据库连接建立...成功
[2017-01-06 14:35:59.385] [DEBUG] 新蓝网 - 缓存队列数据库连接建立...成功
[2017-01-06 14:35:59.387] [DEBUG] 新蓝网 - 创建数据库连接完毕
[2017-01-06 14:36:00.092] [DEBUG] 新蓝网 - 新蓝网 286423 加入缓存队列
[2017-01-06 14:36:00.211] [DEBUG] 新蓝网 - 新蓝网 286421 加入缓存队列
[2017-01-06 14:36:00.347] [DEBUG] 新蓝网 - 新蓝网 286420 加入缓存队列
[2017-01-06 14:36:00.470] [DEBUG] 新蓝网 - 新蓝网 286419 加入缓存队列
[2017-01-06 14:36:00.805] [DEBUG] 新蓝网 - 新蓝网 286418 加入缓存队列
[2017-01-06 14:36:00.918] [DEBUG] 新蓝网 - 新蓝网 286417 加入缓存队列
[2017-01-06 14:36:01.037] [DEBUG] 新蓝网 - 新蓝网 286416 加入缓存队列
[2017-01-06 14:36:01.172] [DEBUG] 新蓝网 - 新蓝网 286415 加入缓存队列
[2017-01-06 14:36:01.301] [DEBUG] 新蓝网 - 新蓝网 286414 加入缓存队列
[2017-01-06 14:36:01.414] [DEBUG] 新蓝网 - 新蓝网 286413 加入缓存队列
[2017-01-06 14:36:01.527] [DEBUG] 新蓝网 - 新蓝网 286412 加入缓存队列
[2017-01-06 14:36:01.640] [DEBUG] 新蓝网 - 新蓝网 286411 加入缓存队列
[2017-01-06 14:36:01.750] [DEBUG] 新蓝网 - 新蓝网 286410 加入缓存队列
[2017-01-06 14:36:01.882] [DEBUG] 新蓝网 - 新蓝网 286409 加入缓存队列
[2017-01-06 14:36:01.995] [DEBUG] 新蓝网 - 新蓝网 286408 加入缓存队列
[2017-01-06 14:36:02.113] [DEBUG] 新蓝网 - 新蓝网 286407 加入缓存队列
[2017-01-06 14:36:02.239] [DEBUG] 新蓝网 - 新蓝网 286406 加入缓存队列
[2017-01-06 14:36:02.367] [DEBUG] 新蓝网 - 新蓝网 280098 加入缓存队列
[2017-01-06 14:36:02.495] [DEBUG] 新蓝网 - 新蓝网 280097 加入缓存队列
[2017-01-06 14:36:02.612] [DEBUG] 新蓝网 - 新蓝网 280096 加入缓存队列
[2017-01-06 14:36:02.729] [DEBUG] 新蓝网 - 新蓝网 280095 加入缓存队列
[2017-01-06 14:36:02.855] [DEBUG] 新蓝网 - 新蓝网 280094 加入缓存队列
[2017-01-06 14:36:02.975] [DEBUG] 新蓝网 - 新蓝网 280093 加入缓存队列
[2017-01-06 14:36:03.122] [DEBUG] 新蓝网 - 新蓝网 279645 加入缓存队列
[2017-01-06 14:36:03.239] [DEBUG] 新蓝网 - 新蓝网 279644 加入缓存队列
[2017-01-06 14:36:03.359] [DEBUG] 新蓝网 - 新蓝网 279643 加入缓存队列
[2017-01-06 14:36:03.480] [DEBUG] 新蓝网 - 新蓝网 279642 加入缓存队列
[2017-01-06 14:36:03.592] [DEBUG] 新蓝网 - 新蓝网 279641 加入缓存队列
[2017-01-06 14:36:03.719] [DEBUG] 新蓝网 - 新蓝网 279640 加入缓存队列
[2017-01-06 14:36:03.833] [DEBUG] 新蓝网 - 新蓝网 279639 加入缓存队列
[2017-01-06 14:36:03.955] [DEBUG] 新蓝网 - 新蓝网 279638 加入缓存队列
