[2017-01-06 14:50:14.422] [TRACE] 新蓝网 - DealWith instantiation ...
[2017-01-06 14:50:14.432] [TRACE] 新蓝网 - spiderCore instantiation ...
[2017-01-06 14:50:14.432] [TRACE] 新蓝网 - 启动函数
[2017-01-06 14:50:14.472] [DEBUG] 新蓝网 - 任务信息数据库连接建立...成功
[2017-01-06 14:50:14.472] [DEBUG] 新蓝网 - 缓存队列数据库连接建立...成功
[2017-01-06 14:50:14.472] [DEBUG] 新蓝网 - 创建数据库连接完毕
[2017-01-06 14:50:19.929] [DEBUG] 新蓝网 - 新蓝网 286423 加入缓存队列
[2017-01-06 14:50:20.029] [DEBUG] 新蓝网 - 新蓝网 286421 加入缓存队列
[2017-01-06 14:50:20.152] [DEBUG] 新蓝网 - 新蓝网 286420 加入缓存队列
[2017-01-06 14:50:20.281] [DEBUG] 新蓝网 - 新蓝网 286419 加入缓存队列
[2017-01-06 14:50:21.574] [DEBUG] 新蓝网 - 新蓝网 286418 加入缓存队列
[2017-01-06 14:50:21.693] [DEBUG] 新蓝网 - 新蓝网 286417 加入缓存队列
[2017-01-06 14:50:23.008] [DEBUG] 新蓝网 - 新蓝网 286416 加入缓存队列
[2017-01-06 14:50:23.143] [DEBUG] 新蓝网 - 新蓝网 286415 加入缓存队列
[2017-01-06 14:50:23.258] [DEBUG] 新蓝网 - 新蓝网 286414 加入缓存队列
[2017-01-06 14:50:23.381] [DEBUG] 新蓝网 - 新蓝网 286413 加入缓存队列
[2017-01-06 14:50:23.501] [DEBUG] 新蓝网 - 新蓝网 286412 加入缓存队列
[2017-01-06 14:50:24.778] [DEBUG] 新蓝网 - 新蓝网 286411 加入缓存队列
[2017-01-06 14:50:25.116] [DEBUG] 新蓝网 - 新蓝网 286410 加入缓存队列
[2017-01-06 14:50:25.473] [DEBUG] 新蓝网 - 新蓝网 286409 加入缓存队列
[2017-01-06 14:50:25.601] [DEBUG] 新蓝网 - 新蓝网 286408 加入缓存队列
[2017-01-06 14:50:25.725] [DEBUG] 新蓝网 - 新蓝网 286407 加入缓存队列
[2017-01-06 14:50:25.854] [DEBUG] 新蓝网 - 新蓝网 286406 加入缓存队列
[2017-01-06 14:50:26.169] [DEBUG] 新蓝网 - 新蓝网 280098 加入缓存队列
[2017-01-06 14:50:26.286] [DEBUG] 新蓝网 - 新蓝网 280097 加入缓存队列
[2017-01-06 14:50:26.396] [DEBUG] 新蓝网 - 新蓝网 280096 加入缓存队列
[2017-01-06 14:50:26.510] [DEBUG] 新蓝网 - 新蓝网 280095 加入缓存队列
[2017-01-06 14:50:26.624] [DEBUG] 新蓝网 - 新蓝网 280094 加入缓存队列
[2017-01-06 14:50:26.752] [DEBUG] 新蓝网 - 新蓝网 280093 加入缓存队列
[2017-01-06 14:50:26.862] [DEBUG] 新蓝网 - 新蓝网 279645 加入缓存队列
[2017-01-06 14:50:26.970] [DEBUG] 新蓝网 - 新蓝网 279644 加入缓存队列
[2017-01-06 14:50:27.095] [DEBUG] 新蓝网 - 新蓝网 279643 加入缓存队列
[2017-01-06 14:50:27.200] [DEBUG] 新蓝网 - 新蓝网 279642 加入缓存队列
[2017-01-06 14:50:27.308] [DEBUG] 新蓝网 - 新蓝网 279641 加入缓存队列
[2017-01-06 14:50:27.430] [DEBUG] 新蓝网 - 新蓝网 279640 加入缓存队列
[2017-01-06 14:50:27.548] [DEBUG] 新蓝网 - 新蓝网 279639 加入缓存队列
[2017-01-06 14:50:27.674] [DEBUG] 新蓝网 - 新蓝网 279638 加入缓存队列
[2017-01-06 14:50:27.798] [DEBUG] 新蓝网 - 新蓝网 279637 加入缓存队列
[2017-01-06 14:50:27.920] [DEBUG] 新蓝网 - 新蓝网 279636 加入缓存队列
[2017-01-06 14:50:28.050] [DEBUG] 新蓝网 - 新蓝网 279635 加入缓存队列
[2017-01-06 14:50:28.176] [DEBUG] 新蓝网 - 新蓝网 279634 加入缓存队列
[2017-01-06 14:50:28.298] [DEBUG] 新蓝网 - 新蓝网 279633 加入缓存队列
[2017-01-06 14:50:28.430] [DEBUG] 新蓝网 - 新蓝网 279632 加入缓存队列
[2017-01-06 14:50:28.548] [DEBUG] 新蓝网 - 新蓝网 279631 加入缓存队列
[2017-01-06 14:50:28.666] [DEBUG] 新蓝网 - 新蓝网 279630 加入缓存队列
[2017-01-06 14:50:28.809] [DEBUG] 新蓝网 - 新蓝网 279629 加入缓存队列
[2017-01-06 14:50:29.008] [DEBUG] 新蓝网 - 新蓝网 279628 加入缓存队列
[2017-01-06 14:50:29.126] [DEBUG] 新蓝网 - 新蓝网 276544 加入缓存队列
[2017-01-06 14:50:29.241] [DEBUG] 新蓝网 - 新蓝网 275530 加入缓存队列
[2017-01-06 14:50:29.358] [DEBUG] 新蓝网 - 新蓝网 275529 加入缓存队列
[2017-01-06 14:50:29.460] [DEBUG] 新蓝网 - 新蓝网 275528 加入缓存队列
[2017-01-06 14:50:29.583] [DEBUG] 新蓝网 - 新蓝网 275527 加入缓存队列
[2017-01-06 14:50:30.658] [DEBUG] 新蓝网 - 新蓝网 275526 加入缓存队列
[2017-01-06 14:50:30.785] [DEBUG] 新蓝网 - 新蓝网 275525 加入缓存队列
[2017-01-06 14:50:31.122] [DEBUG] 新蓝网 - 新蓝网 275524 加入缓存队列
[2017-01-06 14:50:31.211] [DEBUG] 新蓝网 - 新蓝网 275523 加入缓存队列
[2017-01-06 14:50:31.323] [DEBUG] 新蓝网 - 新蓝网 275522 加入缓存队列
[2017-01-06 14:50:31.440] [DEBUG] 新蓝网 - 新蓝网 275521 加入缓存队列
[2017-01-06 14:50:31.558] [DEBUG] 新蓝网 - 新蓝网 275520 加入缓存队列
[2017-01-06 14:50:31.685] [DEBUG] 新蓝网 - 新蓝网 275519 加入缓存队列
[2017-01-06 14:50:31.828] [DEBUG] 新蓝网 - 新蓝网 275518 加入缓存队列
[2017-01-06 14:50:31.960] [DEBUG] 新蓝网 - 新蓝网 275517 加入缓存队列
[2017-01-06 14:50:32.088] [DEBUG] 新蓝网 - 新蓝网 275516 加入缓存队列
[2017-01-06 14:50:32.203] [DEBUG] 新蓝网 - 新蓝网 272470 加入缓存队列
[2017-01-06 14:50:32.328] [DEBUG] 新蓝网 - 新蓝网 272469 加入缓存队列
[2017-01-06 14:50:32.450] [DEBUG] 新蓝网 - 新蓝网 272468 加入缓存队列
[2017-01-06 14:50:33.732] [DEBUG] 新蓝网 - 新蓝网 272467 加入缓存队列
[2017-01-06 14:50:33.856] [DEBUG] 新蓝网 - 新蓝网 272466 加入缓存队列
[2017-01-06 14:50:33.980] [DEBUG] 新蓝网 - 新蓝网 272465 加入缓存队列
[2017-01-06 14:50:34.105] [DEBUG] 新蓝网 - 新蓝网 272464 加入缓存队列
[2017-01-06 14:50:34.258] [DEBUG] 新蓝网 - 新蓝网 272463 加入缓存队列
[2017-01-06 14:50:34.378] [DEBUG] 新蓝网 - 新蓝网 272462 加入缓存队列
[2017-01-06 14:50:34.480] [DEBUG] 新蓝网 - 新蓝网 272461 加入缓存队列
[2017-01-06 14:50:34.593] [DEBUG] 新蓝网 - 新蓝网 272460 加入缓存队列
[2017-01-06 14:50:34.710] [DEBUG] 新蓝网 - 新蓝网 272459 加入缓存队列
[2017-01-06 14:50:35.987] [DEBUG] 新蓝网 - 新蓝网 272458 加入缓存队列
[2017-01-06 14:50:36.153] [DEBUG] 新蓝网 - 新蓝网 272457 加入缓存队列
[2017-01-06 14:50:36.281] [DEBUG] 新蓝网 - 新蓝网 272456 加入缓存队列
[2017-01-06 14:50:36.392] [DEBUG] 新蓝网 - 新蓝网 268834 加入缓存队列
[2017-01-06 14:50:36.498] [DEBUG] 新蓝网 - 新蓝网 268833 加入缓存队列
[2017-01-06 14:50:36.612] [DEBUG] 新蓝网 - 新蓝网 268832 加入缓存队列
[2017-01-06 14:50:37.768] [DEBUG] 新蓝网 - 新蓝网 268831 加入缓存队列
[2017-01-06 14:50:37.886] [DEBUG] 新蓝网 - 新蓝网 268830 加入缓存队列
[2017-01-06 14:50:37.999] [DEBUG] 新蓝网 - 新蓝网 268829 加入缓存队列
[2017-01-06 14:50:38.111] [DEBUG] 新蓝网 - 新蓝网 268828 加入缓存队列
[2017-01-06 14:50:38.238] [DEBUG] 新蓝网 - 新蓝网 268827 加入缓存队列
[2017-01-06 14:50:38.351] [DEBUG] 新蓝网 - 新蓝网 268826 加入缓存队列
[2017-01-06 14:50:38.469] [DEBUG] 新蓝网 - 新蓝网 268825 加入缓存队列
[2017-01-06 14:50:38.600] [DEBUG] 新蓝网 - 新蓝网 268824 加入缓存队列
[2017-01-06 14:50:38.727] [DEBUG] 新蓝网 - 新蓝网 268823 加入缓存队列
[2017-01-06 14:50:38.852] [DEBUG] 新蓝网 - 新蓝网 264818 加入缓存队列
[2017-01-06 14:50:38.955] [DEBUG] 新蓝网 - 新蓝网 264817 加入缓存队列
[2017-01-06 14:50:39.087] [DEBUG] 新蓝网 - 新蓝网 264816 加入缓存队列
[2017-01-06 14:50:39.212] [DEBUG] 新蓝网 - 新蓝网 264815 加入缓存队列
[2017-01-06 14:50:39.329] [DEBUG] 新蓝网 - 新蓝网 264814 加入缓存队列
[2017-01-06 14:50:39.450] [DEBUG] 新蓝网 - 新蓝网 264813 加入缓存队列
[2017-01-06 14:50:39.575] [DEBUG] 新蓝网 - 新蓝网 264810 加入缓存队列
[2017-01-06 14:50:39.693] [DEBUG] 新蓝网 - 新蓝网 264809 加入缓存队列
[2017-01-06 14:50:40.766] [DEBUG] 新蓝网 - 新蓝网 264808 加入缓存队列
[2017-01-06 14:50:40.903] [DEBUG] 新蓝网 - 新蓝网 264807 加入缓存队列
[2017-01-06 14:50:41.028] [DEBUG] 新蓝网 - 新蓝网 264806 加入缓存队列
[2017-01-06 14:50:41.167] [DEBUG] 新蓝网 - 新蓝网 264805 加入缓存队列
[2017-01-06 14:50:41.280] [DEBUG] 新蓝网 - 新蓝网 264804 加入缓存队列
