[2016-11-29 14:56:55.960] [TRACE] 乐视 - DealWith instantiation ...
[2016-11-29 14:56:55.960] [TRACE] 乐视 - spiderCore instantiation ...
[2016-11-29 14:56:55.960] [TRACE] 乐视 - 启动函数
[2016-11-29 14:56:55.991] [DEBUG] 乐视 - 任务信息数据库连接建立...成功
[2016-11-29 14:56:55.991] [DEBUG] 乐视 - 缓存队列数据库连接建立...成功
[2016-11-29 14:56:55.991] [DEBUG] 乐视 - 创建数据库连接完毕
[2016-11-29 14:56:55.991] [INFO] 乐视 - { id: '31073813', p: '3', name: '起小点', type: '1', total: 0 }
[2016-11-29 14:56:56.030] [DEBUG] 乐视 - 开始获取视频总页数
[2016-11-29 14:56:56.130] [DEBUG] 乐视 - 开始获取第1页视频列表
[2016-11-29 14:56:56.240] [DEBUG] 乐视 - ++++++++++++
[2016-11-29 14:56:57.972] [DEBUG] 乐视 - ++++++++++++
[2016-11-29 14:56:58.202] [DEBUG] 乐视 - ++++++++++++
[2016-11-29 14:56:58.379] [DEBUG] 乐视 - ++++++++++++
[2016-11-29 14:56:58.632] [DEBUG] 乐视 - ++++++++++++
[2016-11-29 14:56:58.832] [DEBUG] 乐视 - ++++++++++++
[2016-11-29 14:56:59.073] [DEBUG] 乐视 - ++++++++++++
[2016-11-29 14:56:59.227] [DEBUG] 乐视 - ++++++++++++
[2016-11-29 14:56:59.441] [DEBUG] 乐视 - ++++++++++++
[2016-11-29 14:56:59.671] [DEBUG] 乐视 - ++++++++++++
[2016-11-29 14:56:59.879] [DEBUG] 乐视 - ++++++++++++
[2016-11-29 14:57:00.043] [DEBUG] 乐视 - ++++++++++++
