[2016-11-29 15:09:01.592] [TRACE] 乐视 - DealWith instantiation ...
[2016-11-29 15:09:01.592] [TRACE] 乐视 - spiderCore instantiation ...
[2016-11-29 15:09:01.592] [TRACE] 乐视 - 启动函数
[2016-11-29 15:09:01.630] [DEBUG] 乐视 - 任务信息数据库连接建立...成功
[2016-11-29 15:09:01.633] [DEBUG] 乐视 - 缓存队列数据库连接建立...成功
[2016-11-29 15:09:01.634] [DEBUG] 乐视 - 创建数据库连接完毕
[2016-11-29 15:09:01.636] [INFO] 乐视 - { id: '31073813', p: '3', name: '起小点', type: '1', total: 0 }
[2016-11-29 15:09:01.660] [DEBUG] 乐视 - 开始获取视频总页数
[2016-11-29 15:09:01.763] [DEBUG] 乐视 - 开始获取第1页视频列表
[2016-11-29 15:09:02.146] [DEBUG] 乐视 - true
[2016-11-29 15:09:02.321] [DEBUG] 乐视 - true
[2016-11-29 15:09:02.702] [DEBUG] 乐视 - true
[2016-11-29 15:09:02.899] [DEBUG] 乐视 - true
[2016-11-29 15:09:03.029] [DEBUG] 乐视 - true
[2016-11-29 15:09:03.245] [DEBUG] 乐视 - true
[2016-11-29 15:09:03.383] [DEBUG] 乐视 - true
[2016-11-29 15:09:03.551] [DEBUG] 乐视 - true
[2016-11-29 15:09:03.728] [DEBUG] 乐视 - true
[2016-11-29 15:09:03.934] [DEBUG] 乐视 - true
[2016-11-29 15:09:04.108] [DEBUG] 乐视 - true
[2016-11-29 15:09:04.307] [DEBUG] 乐视 - true
[2016-11-29 15:09:04.404] [DEBUG] 乐视 - true
[2016-11-29 15:09:04.608] [DEBUG] 乐视 - true
[2016-11-29 15:09:04.758] [DEBUG] 乐视 - true
[2016-11-29 15:09:04.930] [DEBUG] 乐视 - true
[2016-11-29 15:09:05.108] [DEBUG] 乐视 - true
[2016-11-29 15:09:06.042] [DEBUG] 乐视 - true
[2016-11-29 15:09:06.229] [DEBUG] 乐视 - true
[2016-11-29 15:09:06.367] [DEBUG] 乐视 - true
[2016-11-29 15:09:06.508] [DEBUG] 乐视 - true
[2016-11-29 15:09:06.741] [DEBUG] 乐视 - true
[2016-11-29 15:09:06.945] [DEBUG] 乐视 - true
[2016-11-29 15:09:07.218] [DEBUG] 乐视 - true
[2016-11-29 15:09:07.383] [DEBUG] 乐视 - true
[2016-11-29 15:09:07.692] [DEBUG] 乐视 - true
