[2016-11-29 14:51:48.740] [TRACE] 乐视 - DealWith instantiation ...
[2016-11-29 14:51:48.746] [TRACE] 乐视 - spiderCore instantiation ...
[2016-11-29 14:51:48.748] [TRACE] 乐视 - 启动函数
[2016-11-29 14:51:48.777] [DEBUG] 乐视 - 任务信息数据库连接建立...成功
[2016-11-29 14:51:48.780] [DEBUG] 乐视 - 缓存队列数据库连接建立...成功
[2016-11-29 14:51:48.782] [DEBUG] 乐视 - 创建数据库连接完毕
[2016-11-29 14:51:48.783] [INFO] 乐视 - { id: '31073813', p: '3', name: '起小点', type: '1', total: 0 }
[2016-11-29 14:51:48.800] [DEBUG] 乐视 - 开始获取视频总页数
[2016-11-29 14:51:48.909] [DEBUG] 乐视 - 开始获取第1页视频列表
[2016-11-29 14:51:49.243] [DEBUG] 乐视 - 游戏
[2016-11-29 14:51:49.571] [DEBUG] 乐视 - 游戏
[2016-11-29 14:51:49.633] [DEBUG] 乐视 - 游戏
[2016-11-29 14:51:49.863] [DEBUG] 乐视 - 生活
[2016-11-29 14:51:49.956] [DEBUG] 乐视 - 游戏
[2016-11-29 14:51:50.041] [DEBUG] 乐视 - 游戏
[2016-11-29 14:51:50.230] [DEBUG] 乐视 - 游戏
[2016-11-29 14:51:50.636] [DEBUG] 乐视 - 游戏
[2016-11-29 14:51:50.695] [DEBUG] 乐视 - 游戏
[2016-11-29 14:51:50.862] [DEBUG] 乐视 - 游戏
[2016-11-29 14:51:51.299] [DEBUG] 乐视 - 游戏
