[2016-11-29 14:51:22.573] [TRACE] 乐视 - DealWith instantiation ...
[2016-11-29 14:51:22.573] [TRACE] 乐视 - spiderCore instantiation ...
[2016-11-29 14:51:22.588] [TRACE] 乐视 - 启动函数
[2016-11-29 14:51:22.617] [DEBUG] 乐视 - 任务信息数据库连接建立...成功
[2016-11-29 14:51:22.620] [DEBUG] 乐视 - 缓存队列数据库连接建立...成功
[2016-11-29 14:51:22.623] [DEBUG] 乐视 - 创建数据库连接完毕
[2016-11-29 14:51:22.625] [INFO] 乐视 - { id: '31073813', p: '3', name: '起小点', type: '1', total: 0 }
[2016-11-29 14:51:22.651] [DEBUG] 乐视 - 开始获取视频总页数
[2016-11-29 14:51:22.800] [DEBUG] 乐视 - 开始获取第1页视频列表
[2016-11-29 14:51:23.029] [DEBUG] 乐视 - 游戏
[2016-11-29 14:51:23.060] [DEBUG] 乐视 - 游戏
[2016-11-29 14:51:23.573] [DEBUG] 乐视 - 游戏
[2016-11-29 14:51:23.573] [DEBUG] 乐视 - 游戏
[2016-11-29 14:51:24.056] [DEBUG] 乐视 - 生活
[2016-11-29 14:51:24.056] [DEBUG] 乐视 - 生活
[2016-11-29 14:51:24.141] [DEBUG] 乐视 - 游戏
[2016-11-29 14:51:24.144] [DEBUG] 乐视 - 游戏
[2016-11-29 14:51:24.150] [DEBUG] 乐视 - 游戏
[2016-11-29 14:51:24.153] [DEBUG] 乐视 - 游戏
[2016-11-29 14:51:24.409] [DEBUG] 乐视 - 游戏
[2016-11-29 14:51:24.409] [DEBUG] 乐视 - 游戏
[2016-11-29 14:51:24.588] [DEBUG] 乐视 - 游戏
[2016-11-29 14:51:24.605] [DEBUG] 乐视 - 游戏
[2016-11-29 14:51:24.878] [DEBUG] 乐视 - 游戏
[2016-11-29 14:51:24.878] [DEBUG] 乐视 - 游戏
