[2016-11-29 15:03:24.948] [TRACE] 乐视 - DealWith instantiation ...
[2016-11-29 15:03:24.955] [TRACE] 乐视 - spiderCore instantiation ...
[2016-11-29 15:03:24.958] [TRACE] 乐视 - 启动函数
[2016-11-29 15:03:24.975] [DEBUG] 乐视 - 任务信息数据库连接建立...成功
[2016-11-29 15:03:24.975] [DEBUG] 乐视 - 缓存队列数据库连接建立...成功
[2016-11-29 15:03:24.991] [DEBUG] 乐视 - 创建数据库连接完毕
[2016-11-29 15:03:24.991] [INFO] 乐视 - { id: '31073813', p: '3', name: '起小点', type: '1', total: 0 }
[2016-11-29 15:03:25.007] [DEBUG] 乐视 - 开始获取视频总页数
[2016-11-29 15:03:25.259] [DEBUG] 乐视 - 开始获取第1页视频列表
[2016-11-29 15:03:25.397] [DEBUG] 乐视 - -----
[2016-11-29 15:03:25.560] [DEBUG] 乐视 - -----
[2016-11-29 15:03:25.629] [DEBUG] 乐视 - -----
[2016-11-29 15:03:25.665] [DEBUG] 乐视 - .......
[2016-11-29 15:03:25.766] [DEBUG] 乐视 - -----
[2016-11-29 15:03:25.866] [DEBUG] 乐视 - .......
[2016-11-29 15:03:25.881] [DEBUG] 乐视 - -----
[2016-11-29 15:03:25.990] [DEBUG] 乐视 - .......
[2016-11-29 15:03:26.091] [DEBUG] 乐视 - .......
[2016-11-29 15:03:26.145] [DEBUG] 乐视 - .......
[2016-11-29 15:03:26.195] [DEBUG] 乐视 - .......
[2016-11-29 15:03:26.462] [DEBUG] 乐视 - -----
[2016-11-29 15:03:26.477] [DEBUG] 乐视 - -----
[2016-11-29 15:03:26.575] [DEBUG] 乐视 - .......
[2016-11-29 15:03:26.591] [DEBUG] 乐视 - -----
[2016-11-29 15:03:26.654] [DEBUG] 乐视 - -----
[2016-11-29 15:03:26.718] [DEBUG] 乐视 - .......
[2016-11-29 15:03:26.786] [DEBUG] 乐视 - .......
[2016-11-29 15:03:26.975] [DEBUG] 乐视 - -----
[2016-11-29 15:03:27.129] [DEBUG] 乐视 - -----
[2016-11-29 15:03:27.135] [DEBUG] 乐视 - .......
[2016-11-29 15:03:27.141] [DEBUG] 乐视 - -----
[2016-11-29 15:03:27.148] [DEBUG] 乐视 - .......
[2016-11-29 15:03:27.284] [DEBUG] 乐视 - -----
[2016-11-29 15:03:27.413] [DEBUG] 乐视 - -----
[2016-11-29 15:03:27.525] [DEBUG] 乐视 - .......
[2016-11-29 15:03:27.528] [DEBUG] 乐视 - .......
[2016-11-29 15:03:27.657] [DEBUG] 乐视 - .......
[2016-11-29 15:03:27.680] [DEBUG] 乐视 - -----
[2016-11-29 15:03:27.769] [DEBUG] 乐视 - .......
[2016-11-29 15:03:27.774] [DEBUG] 乐视 - -----
[2016-11-29 15:03:27.788] [DEBUG] 乐视 - -----
[2016-11-29 15:03:27.913] [DEBUG] 乐视 - -----
[2016-11-29 15:03:28.142] [DEBUG] 乐视 - -----
[2016-11-29 15:03:28.221] [DEBUG] 乐视 - .......
[2016-11-29 15:03:28.265] [DEBUG] 乐视 - -----
[2016-11-29 15:03:28.366] [DEBUG] 乐视 - -----
[2016-11-29 15:03:28.428] [DEBUG] 乐视 - -----
[2016-11-29 15:03:28.544] [DEBUG] 乐视 - -----
[2016-11-29 15:03:28.809] [DEBUG] 乐视 - .......
[2016-11-29 15:03:28.824] [DEBUG] 乐视 - -----
[2016-11-29 15:03:28.934] [DEBUG] 乐视 - -----
[2016-11-29 15:03:28.949] [DEBUG] 乐视 - .......
[2016-11-29 15:03:28.980] [DEBUG] 乐视 - .......
[2016-11-29 15:03:29.165] [DEBUG] 乐视 - -----
[2016-11-29 15:03:29.232] [DEBUG] 乐视 - -----
[2016-11-29 15:03:29.288] [DEBUG] 乐视 - .......
[2016-11-29 15:03:29.366] [DEBUG] 乐视 - -----
[2016-11-29 15:03:29.428] [DEBUG] 乐视 - .......
[2016-11-29 15:03:29.703] [DEBUG] 乐视 - .......
[2016-11-29 15:03:29.711] [DEBUG] 乐视 - -----
[2016-11-29 15:03:29.788] [DEBUG] 乐视 - .......
[2016-11-29 15:03:29.850] [DEBUG] 乐视 - .......
[2016-11-29 15:03:29.975] [DEBUG] 乐视 - -----
[2016-11-29 15:03:30.075] [DEBUG] 乐视 - .......
[2016-11-29 15:03:30.091] [DEBUG] 乐视 - .......
[2016-11-29 15:03:30.109] [DEBUG] 乐视 - .......
