[2016-11-29 14:57:41.833] [TRACE] 乐视 - DealWith instantiation ...
[2016-11-29 14:57:41.849] [TRACE] 乐视 - spiderCore instantiation ...
[2016-11-29 14:57:41.849] [TRACE] 乐视 - 启动函数
[2016-11-29 14:57:41.864] [DEBUG] 乐视 - 任务信息数据库连接建立...成功
[2016-11-29 14:57:41.880] [DEBUG] 乐视 - 缓存队列数据库连接建立...成功
[2016-11-29 14:57:41.880] [DEBUG] 乐视 - 创建数据库连接完毕
[2016-11-29 14:57:41.880] [INFO] 乐视 - { id: '31073813', p: '3', name: '起小点', type: '1', total: 0 }
[2016-11-29 14:57:41.896] [DEBUG] 乐视 - 开始获取视频总页数
[2016-11-29 14:57:42.186] [DEBUG] 乐视 - 开始获取第1页视频列表
[2016-11-29 14:57:42.272] [DEBUG] 乐视 - ++++++++++++
[2016-11-29 14:57:42.694] [DEBUG] 乐视 - ++++++++++++
[2016-11-29 14:57:42.787] [DEBUG] 乐视 - ++++++++++++
[2016-11-29 14:57:43.090] [DEBUG] 乐视 - ++++++++++++
[2016-11-29 14:57:43.411] [DEBUG] 乐视 - ++++++++++++
[2016-11-29 14:57:43.537] [DEBUG] 乐视 - ++++++++++++
[2016-11-29 14:57:43.772] [DEBUG] 乐视 - ++++++++++++
[2016-11-29 14:57:43.896] [DEBUG] 乐视 - ++++++++++++
[2016-11-29 14:57:44.060] [DEBUG] 乐视 - ++++++++++++
[2016-11-29 14:57:44.229] [DEBUG] 乐视 - ++++++++++++
[2016-11-29 14:57:44.302] [DEBUG] 乐视 - ++++++++++++
[2016-11-29 14:57:44.411] [DEBUG] 乐视 - ++++++++++++
[2016-11-29 14:57:44.616] [DEBUG] 乐视 - ++++++++++++
[2016-11-29 14:57:44.927] [DEBUG] 乐视 - ++++++++++++
[2016-11-29 14:57:45.043] [DEBUG] 乐视 - ++++++++++++
[2016-11-29 14:57:45.210] [DEBUG] 乐视 - ++++++++++++
[2016-11-29 14:57:45.364] [DEBUG] 乐视 - ++++++++++++
[2016-11-29 14:57:45.575] [DEBUG] 乐视 - ++++++++++++
[2016-11-29 14:57:45.671] [DEBUG] 乐视 - ++++++++++++
[2016-11-29 14:57:45.779] [DEBUG] 乐视 - ++++++++++++
[2016-11-29 14:57:46.125] [DEBUG] 乐视 - ++++++++++++
[2016-11-29 14:57:46.317] [DEBUG] 乐视 - ++++++++++++
[2016-11-29 14:57:46.473] [DEBUG] 乐视 - ++++++++++++
[2016-11-29 14:57:46.590] [DEBUG] 乐视 - ++++++++++++
[2016-11-29 14:57:46.753] [DEBUG] 乐视 - ++++++++++++
[2016-11-29 14:57:46.896] [DEBUG] 乐视 - ++++++++++++
