[2016-11-29 15:02:25.198] [TRACE] 乐视 - DealWith instantiation ...
[2016-11-29 15:02:25.206] [TRACE] 乐视 - spiderCore instantiation ...
[2016-11-29 15:02:25.208] [TRACE] 乐视 - 启动函数
[2016-11-29 15:02:25.236] [DEBUG] 乐视 - 任务信息数据库连接建立...成功
[2016-11-29 15:02:25.238] [DEBUG] 乐视 - 缓存队列数据库连接建立...成功
[2016-11-29 15:02:25.240] [DEBUG] 乐视 - 创建数据库连接完毕
[2016-11-29 15:02:25.243] [INFO] 乐视 - { id: '31073813', p: '3', name: '起小点', type: '1', total: 0 }
[2016-11-29 15:02:25.268] [DEBUG] 乐视 - 开始获取视频总页数
[2016-11-29 15:02:25.664] [DEBUG] 乐视 - 开始获取第1页视频列表
[2016-11-29 15:02:26.116] [DEBUG] 乐视 - -----
[2016-11-29 15:02:26.134] [DEBUG] 乐视 - -----
[2016-11-29 15:02:26.211] [DEBUG] 乐视 - -----
[2016-11-29 15:02:26.304] [DEBUG] 乐视 - .......
[2016-11-29 15:02:26.320] [DEBUG] 乐视 - -----
[2016-11-29 15:02:26.398] [DEBUG] 乐视 - .......
[2016-11-29 15:02:26.563] [DEBUG] 乐视 - -----
[2016-11-29 15:02:26.645] [DEBUG] 乐视 - .......
[2016-11-29 15:02:26.648] [DEBUG] 乐视 - .......
[2016-11-29 15:02:26.651] [DEBUG] 乐视 - -----
[2016-11-29 15:02:26.761] [DEBUG] 乐视 - -----
[2016-11-29 15:02:26.768] [DEBUG] 乐视 - .......
[2016-11-29 15:02:26.820] [DEBUG] 乐视 - .......
[2016-11-29 15:02:26.835] [DEBUG] 乐视 - .......
[2016-11-29 15:02:26.851] [DEBUG] 乐视 - -----
[2016-11-29 15:02:27.076] [DEBUG] 乐视 - -----
[2016-11-29 15:02:27.213] [DEBUG] 乐视 - .......
[2016-11-29 15:02:27.246] [DEBUG] 乐视 - -----
[2016-11-29 15:02:27.351] [DEBUG] 乐视 - .......
[2016-11-29 15:02:27.367] [DEBUG] 乐视 - -----
[2016-11-29 15:02:27.644] [DEBUG] 乐视 - .......
[2016-11-29 15:02:27.763] [DEBUG] 乐视 - .......
[2016-11-29 15:02:27.784] [DEBUG] 乐视 - -----
