[2016-12-02 16:29:13.150] [TRACE] 微博 - DealWith instantiation ...
[2016-12-02 16:29:48.659] [DEBUG] 微博 - 今日头条 2617700277 加入缓存队列
[2016-12-02 16:29:48.748] [DEBUG] 微博 - 今日头条 5305147245 加入缓存队列
[2016-12-02 16:29:48.924] [DEBUG] 微博 - 今日头条 1749220481 加入缓存队列
[2016-12-02 16:29:49.404] [DEBUG] 微博 - 今日头条 5305147245 加入缓存队列
[2016-12-02 16:29:49.497] [DEBUG] 微博 - 今日头条 3266142652 加入缓存队列
[2016-12-02 16:29:49.674] [DEBUG] 微博 - 今日头条 5305147245 加入缓存队列
[2016-12-02 16:29:49.889] [DEBUG] 微博 - 今日头条 5305147245 加入缓存队列
[2016-12-02 16:29:50.532] [DEBUG] 微博 - 今日头条 5305147245 加入缓存队列
[2016-12-02 16:29:50.615] [DEBUG] 微博 - 今日头条 5305147245 加入缓存队列
[2016-12-02 16:29:54.233] [DEBUG] 微博 - 今日头条 5305147245 加入缓存队列
[2016-12-02 16:29:54.905] [DEBUG] 微博 - 今日头条 1953526727 加入缓存队列
[2016-12-02 16:29:55.180] [DEBUG] 微博 - 今日头条 5879823459 加入缓存队列
[2016-12-02 16:29:55.447] [DEBUG] 微博 - 今日头条 2140227493 加入缓存队列
[2016-12-02 16:29:55.543] [DEBUG] 微博 - 今日头条 5305147245 加入缓存队列
[2016-12-02 16:29:55.676] [DEBUG] 微博 - 今日头条 5732547280 加入缓存队列
[2016-12-02 16:29:56.297] [DEBUG] 微博 - 今日头条 5686734198 加入缓存队列
[2016-12-02 16:29:56.622] [DEBUG] 微博 - 今日头条 3900270312 加入缓存队列
[2016-12-02 16:29:56.964] [DEBUG] 微博 - 今日头条 5722634120 加入缓存队列
[2016-12-02 16:29:57.035] [DEBUG] 微博 - 今日头条 5305147245 加入缓存队列
[2016-12-02 16:29:57.536] [DEBUG] 微博 - 今日头条 5305147245 加入缓存队列
[2016-12-02 16:29:57.770] [DEBUG] 微博 - 今日头条 5305147245 加入缓存队列
[2016-12-02 16:29:57.914] [DEBUG] 微博 - 今日头条 2286908003 加入缓存队列
[2016-12-02 16:29:58.143] [DEBUG] 微博 - 今日头条 5305147245 加入缓存队列
[2016-12-02 16:29:59.055] [DEBUG] 微博 - 今日头条 5305147245 加入缓存队列
[2016-12-02 16:29:59.332] [DEBUG] 微博 - 今日头条 5305147245 加入缓存队列
[2016-12-02 16:30:00.996] [DEBUG] 微博 - 今日头条 2609269865 加入缓存队列
[2016-12-02 16:30:01.605] [DEBUG] 微博 - 今日头条 3266142652 加入缓存队列
[2016-12-02 16:30:01.725] [DEBUG] 微博 - 今日头条 2893052643 加入缓存队列
[2016-12-02 16:30:02.128] [DEBUG] 微博 - 今日头条 5880139240 加入缓存队列
[2016-12-02 16:30:02.433] [DEBUG] 微博 - 今日头条 5305147245 加入缓存队列
[2016-12-02 16:30:02.843] [DEBUG] 微博 - 今日头条 2697416452 加入缓存队列
[2016-12-02 16:30:03.055] [DEBUG] 微博 - 今日头条 2609269865 加入缓存队列
[2016-12-02 16:30:03.235] [DEBUG] 微博 - 今日头条 2140227493 加入缓存队列
[2016-12-02 16:30:05.610] [DEBUG] 微博 - 今日头条 5893789485 加入缓存队列
[2016-12-02 16:30:05.752] [DEBUG] 微博 - 今日头条 5896975985 加入缓存队列
[2016-12-02 16:30:06.106] [DEBUG] 微博 - 今日头条 5305147245 加入缓存队列
[2016-12-02 16:30:06.222] [DEBUG] 微博 - 今日头条 2694278853 加入缓存队列
[2016-12-02 16:30:06.359] [DEBUG] 微博 - 今日头条 5305147245 加入缓存队列
[2016-12-02 16:30:07.145] [DEBUG] 微博 - 今日头条 5101863971 加入缓存队列
[2016-12-02 16:30:07.319] [DEBUG] 微博 - 今日头条 1671814231 加入缓存队列
[2016-12-02 16:30:07.676] [DEBUG] 微博 - 今日头条 5814211294 加入缓存队列
[2016-12-02 16:30:07.857] [DEBUG] 微博 - 今日头条 1820972205 加入缓存队列
[2016-12-02 16:30:08.060] [DEBUG] 微博 - 今日头条 1749220481 加入缓存队列
[2016-12-02 16:30:08.261] [DEBUG] 微博 - 今日头条 3099016097 加入缓存队列
[2016-12-02 16:30:08.792] [DEBUG] 微博 - 今日头条 5893789485 加入缓存队列
[2016-12-02 16:30:08.869] [DEBUG] 微博 - 今日头条 5305147245 加入缓存队列
[2016-12-02 16:30:09.410] [DEBUG] 微博 - 今日头条 5814211294 加入缓存队列
[2016-12-02 16:30:09.790] [DEBUG] 微博 - 今日头条 5879823459 加入缓存队列
[2016-12-02 16:30:12.290] [DEBUG] 微博 - 今日头条 2063577765 加入缓存队列
[2016-12-02 16:30:12.738] [DEBUG] 微博 - 今日头条 1749220481 加入缓存队列
[2016-12-02 16:30:12.842] [DEBUG] 微博 - 今日头条 5305147245 加入缓存队列
[2016-12-02 16:30:13.043] [DEBUG] 微博 - 今日头条 1005570772 加入缓存队列
[2016-12-02 16:30:13.855] [DEBUG] 微博 - 今日头条 5305147245 加入缓存队列
[2016-12-02 16:30:14.059] [DEBUG] 微博 - 今日头条 5305147245 加入缓存队列
[2016-12-02 16:30:17.157] [DEBUG] 微博 - 今日头条 2697416452 加入缓存队列
[2016-12-02 16:30:17.379] [DEBUG] 微博 - 今日头条 3116047715 加入缓存队列
[2016-12-02 16:30:20.456] [DEBUG] 微博 - 今日头条 5686734198 加入缓存队列
[2016-12-02 16:30:20.685] [DEBUG] 微博 - 今日头条 5305147245 加入缓存队列
[2016-12-02 16:30:24.315] [DEBUG] 微博 - 今日头条 2176645133 加入缓存队列
[2016-12-02 16:30:26.610] [DEBUG] 微博 - 今日头条 5305147245 加入缓存队列
[2016-12-02 16:30:26.952] [DEBUG] 微博 - 今日头条 5305147245 加入缓存队列
[2016-12-02 16:30:27.020] [DEBUG] 微博 - 今日头条 2697416452 加入缓存队列
[2016-12-02 16:30:27.352] [DEBUG] 微博 - 今日头条 5305147245 加入缓存队列
[2016-12-02 16:30:28.696] [DEBUG] 微博 - 今日头条 5305147245 加入缓存队列
[2016-12-02 16:30:28.986] [DEBUG] 微博 - 今日头条 5305147245 加入缓存队列
[2016-12-02 16:30:29.434] [DEBUG] 微博 - 今日头条 1871110130 加入缓存队列
[2016-12-02 16:30:29.529] [DEBUG] 微博 - 今日头条 5305147245 加入缓存队列
[2016-12-02 16:30:31.227] [DEBUG] 微博 - 今日头条 5893789485 加入缓存队列
[2016-12-02 16:30:31.350] [DEBUG] 微博 - 今日头条 5971792547 加入缓存队列
[2016-12-02 16:30:31.623] [DEBUG] 微博 - 今日头条 5305147245 加入缓存队列
[2016-12-02 16:30:31.775] [DEBUG] 微博 - 今日头条 1005570772 加入缓存队列
[2016-12-02 16:30:31.864] [DEBUG] 微博 - 今日头条 2670125917 加入缓存队列
[2016-12-02 16:30:31.949] [DEBUG] 微博 - 今日头条 5865978693 加入缓存队列
[2016-12-02 16:30:32.573] [DEBUG] 微博 - 今日头条 2090591961 加入缓存队列
[2016-12-02 16:30:32.668] [DEBUG] 微博 - 今日头条 undefined 加入缓存队列
[2016-12-02 16:30:35.537] [DEBUG] 微博 - 今日头条 5541345550 加入缓存队列
[2016-12-02 16:30:35.719] [DEBUG] 微博 - 今日头条 3948713134 加入缓存队列
[2016-12-02 16:30:36.050] [DEBUG] 微博 - 今日头条 2697416452 加入缓存队列
[2016-12-02 16:30:37.375] [DEBUG] 微博 - 今日头条 1005570772 加入缓存队列
[2016-12-02 16:30:39.288] [DEBUG] 微博 - 今日头条 5971792547 加入缓存队列
[2016-12-02 16:30:40.681] [DEBUG] 微博 - 今日头条 5675449379 加入缓存队列
[2016-12-02 16:30:40.944] [DEBUG] 微博 - 今日头条 5305147245 加入缓存队列
[2016-12-02 16:30:41.221] [DEBUG] 微博 - 今日头条 5305147245 加入缓存队列
[2016-12-02 16:30:41.373] [DEBUG] 微博 - 今日头条 5305147245 加入缓存队列
[2016-12-02 16:30:41.542] [DEBUG] 微博 - 今日头条 5722634120 加入缓存队列
[2016-12-02 16:30:41.608] [DEBUG] 微博 - 今日头条 1863337381 加入缓存队列
[2016-12-02 16:30:42.204] [DEBUG] 微博 - 今日头条 2451876495 加入缓存队列
[2016-12-02 16:30:42.269] [DEBUG] 微博 - 今日头条 5814211294 加入缓存队列
[2016-12-02 16:30:42.664] [DEBUG] 微博 - 今日头条 5305147245 加入缓存队列
[2016-12-02 16:30:42.808] [DEBUG] 微博 - 今日头条 5305147245 加入缓存队列
[2016-12-02 16:30:43.025] [DEBUG] 微博 - 今日头条 2697416452 加入缓存队列
[2016-12-02 16:30:43.326] [DEBUG] 微博 - 今日头条 5305147245 加入缓存队列
[2016-12-02 16:30:43.891] [DEBUG] 微博 - 今日头条 5305147245 加入缓存队列
[2016-12-02 16:30:44.321] [DEBUG] 微博 - 今日头条 1670183810 加入缓存队列
[2016-12-02 16:30:44.432] [DEBUG] 微博 - 今日头条 5305147245 加入缓存队列
[2016-12-02 16:30:44.817] [DEBUG] 微博 - 今日头条 2697416452 加入缓存队列
[2016-12-02 16:30:45.011] [DEBUG] 微博 - 今日头条 2140227493 加入缓存队列
[2016-12-02 16:30:45.110] [DEBUG] 微博 - 今日头条 2140227493 加入缓存队列
[2016-12-02 16:30:45.255] [DEBUG] 微博 - 今日头条 5971792547 加入缓存队列
[2016-12-02 16:30:46.147] [DEBUG] 微博 - 今日头条 1615743184 加入缓存队列
[2016-12-02 16:30:46.407] [DEBUG] 微博 - 今日头条 5305147245 加入缓存队列
[2016-12-02 16:30:46.910] [DEBUG] 微博 - 今日头条 5971792547 加入缓存队列
[2016-12-02 16:30:47.014] [DEBUG] 微博 - 今日头条 5232055343 加入缓存队列
[2016-12-02 16:30:47.317] [DEBUG] 微博 - 今日头条 5305147245 加入缓存队列
[2016-12-02 16:30:47.597] [DEBUG] 微博 - 今日头条 5971792547 加入缓存队列
