[2016-11-26 23:42:15.429] [TRACE] 今日头条 - DealWith instantiation ...
[2016-11-26 23:42:15.435] [TRACE] 今日头条 - spiderCore instantiation ...
[2016-11-26 23:42:15.437] [TRACE] 今日头条 - 启动函数
[2016-11-26 23:42:15.464] [DEBUG] 今日头条 - 任务信息数据库连接建立...成功
[2016-11-26 23:42:15.466] [DEBUG] 今日头条 - 缓存队列数据库连接建立...成功
[2016-11-26 23:42:15.468] [DEBUG] 今日头条 - 创建数据库连接完毕
[2016-11-26 23:42:15.469] [INFO] 今日头条 - { p: '6', id: '6518345701', name: '共赏雅俗' }
[2016-11-26 23:42:15.720] [DEBUG] 今日头条 - 6518345701-----
[2016-11-26 23:42:15.923] [DEBUG] 今日头条 - 6518345701-----
[2016-11-26 23:42:16.129] [DEBUG] 今日头条 - 6518345701-----
[2016-11-26 23:42:16.361] [DEBUG] 今日头条 - 6518345701-----
[2016-11-26 23:42:16.589] [DEBUG] 今日头条 - 6518345701-----
[2016-11-26 23:42:16.814] [DEBUG] 今日头条 - 6518345701-----
[2016-11-26 23:42:17.028] [DEBUG] 今日头条 - 6518345701-----
[2016-11-26 23:42:17.242] [DEBUG] 今日头条 - 6518345701-----
[2016-11-26 23:42:17.453] [DEBUG] 今日头条 - 6518345701-----
[2016-11-26 23:42:17.669] [DEBUG] 今日头条 - 6518345701-----
[2016-11-26 23:42:18.016] [DEBUG] 今日头条 - 6518345701-----
[2016-11-26 23:42:18.237] [DEBUG] 今日头条 - 6518345701-----
[2016-11-26 23:42:18.460] [DEBUG] 今日头条 - 6518345701-----
