[2016-11-28 12:18:47.954] [TRACE] 今日头条 - DealWith instantiation ...
[2016-11-28 12:18:47.963] [TRACE] 今日头条 - spiderCore instantiation ...
[2016-11-28 12:18:47.966] [TRACE] 今日头条 - 启动函数
[2016-11-28 12:18:47.995] [DEBUG] 今日头条 - 任务信息数据库连接建立...成功
[2016-11-28 12:18:47.996] [DEBUG] 今日头条 - 缓存队列数据库连接建立...成功
[2016-11-28 12:18:47.996] [DEBUG] 今日头条 - 创建数据库连接完毕
[2016-11-28 12:18:47.996] [INFO] 今日头条 - { p: '6', id: '6621038696', name: '聊斋那些事儿' }
[2016-11-28 12:18:49.768] [DEBUG] 今日头条 - undefined
[2016-11-28 12:18:49.897] [DEBUG] 今日头条 - undefined
[2016-11-28 12:18:49.980] [DEBUG] 今日头条 - undefined
[2016-11-28 12:18:50.054] [DEBUG] 今日头条 - undefined
[2016-11-28 12:18:50.159] [DEBUG] 今日头条 - undefined
[2016-11-28 12:18:51.084] [DEBUG] 今日头条 - undefined
[2016-11-28 12:18:51.159] [DEBUG] 今日头条 - undefined
[2016-11-28 12:18:51.237] [DEBUG] 今日头条 - undefined
[2016-11-28 12:18:51.523] [DEBUG] 今日头条 - undefined
[2016-11-28 12:18:51.653] [DEBUG] 今日头条 - undefined
[2016-11-28 12:18:52.293] [DEBUG] 今日头条 - undefined
[2016-11-28 12:18:52.351] [DEBUG] 今日头条 - undefined
