[2016-11-28 12:19:38.847] [TRACE] 今日头条 - DealWith instantiation ...
[2016-11-28 12:19:38.857] [TRACE] 今日头条 - spiderCore instantiation ...
[2016-11-28 12:19:38.857] [TRACE] 今日头条 - 启动函数
[2016-11-28 12:19:38.893] [DEBUG] 今日头条 - 任务信息数据库连接建立...成功
[2016-11-28 12:19:38.895] [DEBUG] 今日头条 - 缓存队列数据库连接建立...成功
[2016-11-28 12:19:38.897] [DEBUG] 今日头条 - 创建数据库连接完毕
[2016-11-28 12:19:38.898] [INFO] 今日头条 - { p: '6', id: '6621038696', name: '聊斋那些事儿' }
[2016-11-28 12:19:39.630] [DEBUG] 今日头条 - undefined
[2016-11-28 12:19:39.703] [DEBUG] 今日头条 - undefined
[2016-11-28 12:19:40.212] [DEBUG] 今日头条 - undefined
[2016-11-28 12:19:40.696] [DEBUG] 今日头条 - undefined
[2016-11-28 12:19:40.760] [DEBUG] 今日头条 - undefined
[2016-11-28 12:19:40.830] [DEBUG] 今日头条 - undefined
[2016-11-28 12:19:40.924] [DEBUG] 今日头条 - undefined
[2016-11-28 12:19:40.990] [DEBUG] 今日头条 - undefined
[2016-11-28 12:19:41.059] [DEBUG] 今日头条 - undefined
[2016-11-28 12:19:41.119] [DEBUG] 今日头条 - undefined
[2016-11-28 12:19:41.813] [DEBUG] 今日头条 - undefined
[2016-11-28 12:19:41.860] [DEBUG] 今日头条 - undefined
[2016-11-28 12:19:41.927] [DEBUG] 今日头条 - undefined
