[2016-11-26 23:12:55.392] [TRACE] 今日头条 - DealWith instantiation ...
[2016-11-26 23:12:55.399] [TRACE] 今日头条 - spiderCore instantiation ...
[2016-11-26 23:12:55.401] [TRACE] 今日头条 - 启动函数
[2016-11-26 23:12:55.431] [DEBUG] 今日头条 - 任务信息数据库连接建立...成功
[2016-11-26 23:12:55.433] [DEBUG] 今日头条 - 缓存队列数据库连接建立...成功
[2016-11-26 23:12:55.435] [DEBUG] 今日头条 - 创建数据库连接完毕
[2016-11-26 23:12:55.436] [INFO] 今日头条 - { p: '6', id: '6518345701', name: '共赏雅俗' }
[2016-11-26 23:12:55.843] [DEBUG] 今日头条 - object
[2016-11-26 23:12:56.151] [DEBUG] 今日头条 - object
[2016-11-26 23:12:56.433] [DEBUG] 今日头条 - object
[2016-11-26 23:12:56.737] [DEBUG] 今日头条 - object
[2016-11-26 23:12:57.045] [DEBUG] 今日头条 - object
[2016-11-26 23:12:57.333] [DEBUG] 今日头条 - object
[2016-11-26 23:12:57.643] [DEBUG] 今日头条 - object
