[2016-11-26 23:13:47.172] [TRACE] 今日头条 - DealWith instantiation ...
[2016-11-26 23:13:47.182] [TRACE] 今日头条 - spiderCore instantiation ...
[2016-11-26 23:13:47.182] [TRACE] 今日头条 - 启动函数
[2016-11-26 23:13:47.212] [DEBUG] 今日头条 - 任务信息数据库连接建立...成功
[2016-11-26 23:13:47.212] [DEBUG] 今日头条 - 缓存队列数据库连接建立...成功
[2016-11-26 23:13:47.212] [DEBUG] 今日头条 - 创建数据库连接完毕
[2016-11-26 23:13:47.212] [INFO] 今日头条 - { p: '6', id: '6518345701', name: '共赏雅俗' }
[2016-11-26 23:13:47.546] [DEBUG] 今日头条 - 6518345701
[2016-11-26 23:13:47.803] [DEBUG] 今日头条 - 6518345701
[2016-11-26 23:13:48.096] [DEBUG] 今日头条 - 6518345701
[2016-11-26 23:13:48.383] [DEBUG] 今日头条 - 6518345701
[2016-11-26 23:13:48.683] [DEBUG] 今日头条 - 6518345701
[2016-11-26 23:13:49.009] [DEBUG] 今日头条 - 6518345701
[2016-11-26 23:13:49.293] [DEBUG] 今日头条 - 6518345701
[2016-11-26 23:13:49.575] [DEBUG] 今日头条 - 6518345701
[2016-11-26 23:13:49.888] [DEBUG] 今日头条 - 6518345701
[2016-11-26 23:13:50.140] [DEBUG] 今日头条 - 6518345701
