[2016-11-27 15:55:59.236] [TRACE] 今日头条 - DealWith instantiation ...
[2016-11-27 15:55:59.243] [TRACE] 今日头条 - spiderCore instantiation ...
[2016-11-27 15:55:59.246] [TRACE] 今日头条 - 启动函数
[2016-11-27 15:55:59.274] [DEBUG] 今日头条 - 任务信息数据库连接建立...成功
[2016-11-27 15:55:59.279] [DEBUG] 今日头条 - 缓存队列数据库连接建立...成功
[2016-11-27 15:55:59.281] [DEBUG] 今日头条 - 创建数据库连接完毕
[2016-11-27 15:55:59.284] [INFO] 今日头条 - { p: '6', id: '50020702926', name: '  全民乐翻天' }
[2016-11-27 15:55:59.640] [DEBUG] 今日头条 - 伙伴,明星八卦,娱乐-----http://p2.pstatp.com/list/11950000fec20af89013
[2016-11-27 15:55:59.815] [DEBUG] 今日头条 - 综艺,乔杉,内地电视剧,电视剧,屌丝男士-----http://p2.pstatp.com/list/11120003b0e82ab994a7
[2016-11-27 15:55:59.985] [DEBUG] 今日头条 - 拳击,邹市明,冉莹颖,拉斯维加斯-----http://p2.pstatp.com/list/106b0004d923ac845690
[2016-11-27 15:56:00.140] [DEBUG] 今日头条 - -----http://p2.pstatp.com/list/110d000345fde869cb45
[2016-11-27 15:56:00.404] [DEBUG] 今日头条 - -----http://p2.pstatp.com/list/10680006510a6f1bc344
[2016-11-27 15:56:00.581] [DEBUG] 今日头条 - 王俊凯,吴磊,张艺兴,黄子韬,鹿晗-----http://p2.pstatp.com/list/10680002763576ed868a
[2016-11-27 15:56:00.732] [DEBUG] 今日头条 - 钟欣潼,设计-----http://p2.pstatp.com/list/101f000814b3b953dfa7
[2016-11-27 15:56:00.907] [DEBUG] 今日头条 - 婚姻,撒贝宁,婚礼-----http://p2.pstatp.com/list/101c000535822fa84e63
[2016-11-27 15:56:01.072] [DEBUG] 今日头条 - 孙淳,傅丽莉-----http://p2.pstatp.com/list/f730005d982e4b61db6
[2016-11-27 15:56:01.225] [DEBUG] 今日头条 - 宁静-----http://p2.pstatp.com/list/f0000060a959dd19fb2
[2016-11-27 15:56:01.514] [DEBUG] 今日头条 - -----http://p2.pstatp.com/list/e510001835763c2ae00
[2016-11-27 15:56:01.699] [DEBUG] 今日头条 - -----http://p2.pstatp.com/list/e510001835763c2ae00
[2016-11-27 15:56:02.046] [DEBUG] 今日头条 - -----http://p2.pstatp.com/list/e510001835763c2ae00
[2016-11-27 15:56:02.219] [DEBUG] 今日头条 - -----http://p2.pstatp.com/list/e510001835763c2ae00
[2016-11-27 15:56:02.385] [DEBUG] 今日头条 - -----http://p2.pstatp.com/list/e510001835763c2ae00
[2016-11-27 15:56:02.554] [DEBUG] 今日头条 - -----http://p2.pstatp.com/list/e510001835763c2ae00
[2016-11-27 15:56:02.730] [DEBUG] 今日头条 - -----http://p2.pstatp.com/list/e510001835763c2ae00
[2016-11-27 15:56:02.909] [DEBUG] 今日头条 - -----http://p2.pstatp.com/list/e510001835763c2ae00
[2016-11-27 15:56:03.097] [DEBUG] 今日头条 - -----http://p2.pstatp.com/list/e510001835763c2ae00
[2016-11-27 15:56:03.311] [DEBUG] 今日头条 - -----http://p2.pstatp.com/list/e510001835763c2ae00
[2016-11-27 15:56:03.581] [DEBUG] 今日头条 - -----http://p2.pstatp.com/list/e510001835763c2ae00
[2016-11-27 15:56:03.757] [DEBUG] 今日头条 - -----http://p2.pstatp.com/list/e510001835763c2ae00
[2016-11-27 15:56:03.925] [DEBUG] 今日头条 - -----http://p2.pstatp.com/list/e510001835763c2ae00
[2016-11-27 15:56:04.116] [DEBUG] 今日头条 - -----http://p2.pstatp.com/list/e510001835763c2ae00
[2016-11-27 15:56:04.295] [DEBUG] 今日头条 - -----http://p2.pstatp.com/list/e510001835763c2ae00
[2016-11-27 15:56:04.479] [DEBUG] 今日头条 - -----http://p2.pstatp.com/list/e510001835763c2ae00
[2016-11-27 15:56:04.676] [DEBUG] 今日头条 - -----http://p2.pstatp.com/list/e510001835763c2ae00
[2016-11-27 15:56:04.826] [DEBUG] 今日头条 - -----http://p2.pstatp.com/list/e510001835763c2ae00
[2016-11-27 15:56:05.008] [DEBUG] 今日头条 - -----http://p2.pstatp.com/list/e510001835763c2ae00
[2016-11-27 15:56:05.194] [DEBUG] 今日头条 - -----http://p2.pstatp.com/list/e510001835763c2ae00
[2016-11-27 15:56:05.481] [DEBUG] 今日头条 - -----http://p2.pstatp.com/list/e510001835763c2ae00
[2016-11-27 15:56:05.658] [DEBUG] 今日头条 - -----http://p2.pstatp.com/list/e510001835763c2ae00
[2016-11-27 15:56:05.846] [DEBUG] 今日头条 - -----http://p2.pstatp.com/list/e510001835763c2ae00
[2016-11-27 15:56:06.036] [DEBUG] 今日头条 - -----http://p2.pstatp.com/list/e510001835763c2ae00
[2016-11-27 15:56:06.230] [DEBUG] 今日头条 - -----http://p2.pstatp.com/list/e510001835763c2ae00
[2016-11-27 15:56:06.396] [DEBUG] 今日头条 - -----http://p2.pstatp.com/list/e510001835763c2ae00
[2016-11-27 15:56:06.566] [DEBUG] 今日头条 - -----http://p2.pstatp.com/list/e510001835763c2ae00
[2016-11-27 15:56:06.755] [DEBUG] 今日头条 - -----http://p2.pstatp.com/list/e510001835763c2ae00
[2016-11-27 15:56:06.914] [DEBUG] 今日头条 - -----http://p2.pstatp.com/list/e510001835763c2ae00
