[2016-11-26 23:45:58.836] [TRACE] 今日头条 - DealWith instantiation ...
[2016-11-26 23:45:58.836] [TRACE] 今日头条 - spiderCore instantiation ...
[2016-11-26 23:45:58.846] [TRACE] 今日头条 - 启动函数
[2016-11-26 23:45:58.866] [DEBUG] 今日头条 - 任务信息数据库连接建立...成功
[2016-11-26 23:45:58.866] [DEBUG] 今日头条 - 缓存队列数据库连接建立...成功
[2016-11-26 23:45:58.876] [DEBUG] 今日头条 - 创建数据库连接完毕
[2016-11-26 23:45:58.876] [INFO] 今日头条 - { p: '6', id: '6518345701', name: '共赏雅俗' }
[2016-11-26 23:45:59.166] [DEBUG] 今日头条 - object-----
[2016-11-26 23:45:59.176] [DEBUG] 今日头条 - 6518345701-----
[2016-11-26 23:45:59.466] [DEBUG] 今日头条 - object-----
[2016-11-26 23:45:59.466] [DEBUG] 今日头条 - 6518345701-----
[2016-11-26 23:45:59.746] [DEBUG] 今日头条 - object-----
[2016-11-26 23:45:59.756] [DEBUG] 今日头条 - 6518345701-----
[2016-11-26 23:46:00.056] [DEBUG] 今日头条 - object-----
[2016-11-26 23:46:00.056] [DEBUG] 今日头条 - 6518345701-----
