[2016-11-26 22:53:25.150] [TRACE] 今日头条 - DealWith instantiation ...
[2016-11-26 22:53:25.160] [TRACE] 今日头条 - spiderCore instantiation ...
[2016-11-26 22:53:25.160] [TRACE] 今日头条 - 启动函数
[2016-11-26 22:53:25.190] [DEBUG] 今日头条 - 任务信息数据库连接建立...成功
[2016-11-26 22:53:25.190] [DEBUG] 今日头条 - 缓存队列数据库连接建立...成功
[2016-11-26 22:53:25.200] [DEBUG] 今日头条 - 创建数据库连接完毕
[2016-11-26 22:53:25.200] [INFO] 今日头条 - { p: '6', id: '6518345701', name: '共赏雅俗' }
[2016-11-26 22:53:25.578] [DEBUG] 今日头条 - ------共赏雅俗------
[2016-11-26 22:53:25.638] [DEBUG] 今日头条 - ------共赏雅俗------
[2016-11-26 22:53:25.721] [DEBUG] 今日头条 - ------共赏雅俗------
[2016-11-26 22:53:25.801] [DEBUG] 今日头条 - ------共赏雅俗------
[2016-11-26 22:53:25.876] [DEBUG] 今日头条 - ------共赏雅俗------
[2016-11-26 22:53:25.977] [DEBUG] 今日头条 - ------共赏雅俗------
[2016-11-26 22:53:26.068] [DEBUG] 今日头条 - ------共赏雅俗------
[2016-11-26 22:53:26.168] [DEBUG] 今日头条 - ------共赏雅俗------
[2016-11-26 22:53:26.331] [DEBUG] 今日头条 - ------共赏雅俗------
[2016-11-26 22:53:26.517] [DEBUG] 今日头条 - ------共赏雅俗------
[2016-11-26 22:53:26.791] [DEBUG] 今日头条 - ------共赏雅俗------
[2016-11-26 22:53:26.975] [DEBUG] 今日头条 - ------共赏雅俗------
