[2016-11-27 15:44:25.715] [TRACE] 今日头条 - DealWith instantiation ...
[2016-11-27 15:44:25.722] [TRACE] 今日头条 - spiderCore instantiation ...
[2016-11-27 15:44:25.724] [TRACE] 今日头条 - 启动函数
[2016-11-27 15:44:25.754] [DEBUG] 今日头条 - 任务信息数据库连接建立...成功
[2016-11-27 15:44:25.756] [DEBUG] 今日头条 - 缓存队列数据库连接建立...成功
[2016-11-27 15:44:25.758] [DEBUG] 今日头条 - 创建数据库连接完毕
[2016-11-27 15:44:25.759] [INFO] 今日头条 - { p: '6', id: '50246551362', name: '视频不重要评论最搞笑' }
[2016-11-27 15:44:25.909] [DEBUG] 今日头条 - undefined
[2016-11-27 15:44:26.065] [DEBUG] 今日头条 - undefined
[2016-11-27 15:44:26.149] [DEBUG] 今日头条 - undefined
[2016-11-27 15:44:26.247] [DEBUG] 今日头条 - undefined
[2016-11-27 15:44:26.334] [DEBUG] 今日头条 - undefined
[2016-11-27 15:44:26.427] [DEBUG] 今日头条 - undefined
[2016-11-27 15:44:26.519] [DEBUG] 今日头条 - undefined
[2016-11-27 15:44:26.618] [DEBUG] 今日头条 - undefined
[2016-11-27 15:44:26.699] [DEBUG] 今日头条 - undefined
[2016-11-27 15:44:26.799] [DEBUG] 今日头条 - undefined
[2016-11-27 15:44:26.887] [DEBUG] 今日头条 - undefined
[2016-11-27 15:44:26.983] [DEBUG] 今日头条 - undefined
[2016-11-27 15:44:27.091] [DEBUG] 今日头条 - undefined
[2016-11-27 15:44:27.168] [DEBUG] 今日头条 - undefined
[2016-11-27 15:44:27.268] [DEBUG] 今日头条 - undefined
[2016-11-27 15:44:27.369] [DEBUG] 今日头条 - undefined
[2016-11-27 15:44:27.450] [DEBUG] 今日头条 - undefined
[2016-11-27 15:44:27.534] [DEBUG] 今日头条 - undefined
