[2016-11-26 23:43:24.893] [TRACE] 今日头条 - DealWith instantiation ...
[2016-11-26 23:43:24.903] [TRACE] 今日头条 - spiderCore instantiation ...
[2016-11-26 23:43:24.903] [TRACE] 今日头条 - 启动函数
[2016-11-26 23:43:24.938] [DEBUG] 今日头条 - 任务信息数据库连接建立...成功
[2016-11-26 23:43:24.940] [DEBUG] 今日头条 - 缓存队列数据库连接建立...成功
[2016-11-26 23:43:24.942] [DEBUG] 今日头条 - 创建数据库连接完毕
[2016-11-26 23:43:24.944] [INFO] 今日头条 - { p: '6', id: '6518345701', name: '共赏雅俗' }
[2016-11-26 23:43:25.191] [DEBUG] 今日头条 - object-----
[2016-11-26 23:43:25.417] [DEBUG] 今日头条 - object-----
[2016-11-26 23:43:25.620] [DEBUG] 今日头条 - object-----
[2016-11-26 23:43:25.842] [DEBUG] 今日头条 - object-----
[2016-11-26 23:43:26.049] [DEBUG] 今日头条 - object-----
[2016-11-26 23:43:26.257] [DEBUG] 今日头条 - object-----
[2016-11-26 23:43:26.454] [DEBUG] 今日头条 - object-----
[2016-11-26 23:43:26.650] [DEBUG] 今日头条 - object-----
