[2016-11-26 23:40:15.000] [TRACE] 今日头条 - DealWith instantiation ...
[2016-11-26 23:40:15.000] [TRACE] 今日头条 - spiderCore instantiation ...
[2016-11-26 23:40:15.000] [TRACE] 今日头条 - 启动函数
[2016-11-26 23:40:15.030] [DEBUG] 今日头条 - 任务信息数据库连接建立...成功
[2016-11-26 23:40:15.030] [DEBUG] 今日头条 - 缓存队列数据库连接建立...成功
[2016-11-26 23:40:15.040] [DEBUG] 今日头条 - 创建数据库连接完毕
[2016-11-26 23:40:15.040] [INFO] 今日头条 - { p: '6', id: '6518345701', name: '共赏雅俗' }
[2016-11-26 23:40:15.311] [DEBUG] 今日头条 - -----
[2016-11-26 23:40:15.548] [DEBUG] 今日头条 - -----
[2016-11-26 23:40:15.798] [DEBUG] 今日头条 - -----
[2016-11-26 23:40:16.027] [DEBUG] 今日头条 - -----
[2016-11-26 23:40:16.279] [DEBUG] 今日头条 - -----
[2016-11-26 23:40:16.527] [DEBUG] 今日头条 - -----
[2016-11-26 23:40:16.787] [DEBUG] 今日头条 - -----
[2016-11-26 23:40:17.007] [DEBUG] 今日头条 - -----
[2016-11-26 23:40:17.262] [DEBUG] 今日头条 - -----
[2016-11-26 23:40:17.487] [DEBUG] 今日头条 - -----
[2016-11-26 23:40:17.870] [DEBUG] 今日头条 - -----
[2016-11-26 23:40:18.071] [DEBUG] 今日头条 - -----
[2016-11-26 23:40:18.295] [DEBUG] 今日头条 - -----
[2016-11-26 23:40:18.527] [DEBUG] 今日头条 - -----
[2016-11-26 23:40:18.759] [DEBUG] 今日头条 - -----
[2016-11-26 23:40:18.987] [DEBUG] 今日头条 - -----
[2016-11-26 23:40:19.218] [DEBUG] 今日头条 - -----
[2016-11-26 23:40:19.456] [DEBUG] 今日头条 - -----
[2016-11-26 23:40:19.678] [DEBUG] 今日头条 - -----
[2016-11-26 23:40:19.967] [DEBUG] 今日头条 - -----
[2016-11-26 23:40:20.310] [DEBUG] 今日头条 - -----
[2016-11-26 23:40:20.567] [DEBUG] 今日头条 - -----
[2016-11-26 23:40:20.805] [DEBUG] 今日头条 - -----
[2016-11-26 23:40:21.042] [DEBUG] 今日头条 - -----
