[2016-11-27 17:34:13.276] [TRACE] 今日头条 - DealWith instantiation ...
[2016-11-27 17:34:13.283] [TRACE] 今日头条 - spiderCore instantiation ...
[2016-11-27 17:34:13.287] [TRACE] 今日头条 - 启动函数
[2016-11-27 17:34:13.314] [DEBUG] 今日头条 - 任务信息数据库连接建立...成功
[2016-11-27 17:34:13.316] [DEBUG] 今日头条 - 缓存队列数据库连接建立...成功
[2016-11-27 17:34:13.318] [DEBUG] 今日头条 - 创建数据库连接完毕
[2016-11-27 17:34:13.320] [INFO] 今日头条 - { p: '6', id: '50246551362', name: '视频不重要评论最搞笑' }
[2016-11-27 17:34:13.356] [DEBUG] 今日头条 - 0
[2016-11-27 17:34:13.577] [DEBUG] 今日头条 - undefined
[2016-11-27 17:34:13.673] [DEBUG] 今日头条 - undefined
[2016-11-27 17:34:13.750] [DEBUG] 今日头条 - undefined
[2016-11-27 17:34:13.811] [DEBUG] 今日头条 - undefined
[2016-11-27 17:34:13.882] [DEBUG] 今日头条 - undefined
[2016-11-27 17:34:13.948] [DEBUG] 今日头条 - undefined
[2016-11-27 17:34:14.029] [DEBUG] 今日头条 - undefined
[2016-11-27 17:34:14.151] [DEBUG] 今日头条 - undefined
[2016-11-27 17:34:14.230] [DEBUG] 今日头条 - undefined
[2016-11-27 17:34:14.304] [DEBUG] 今日头条 - undefined
[2016-11-27 17:34:14.490] [DEBUG] 今日头条 - undefined
[2016-11-27 17:34:14.575] [DEBUG] 今日头条 - undefined
[2016-11-27 17:34:14.639] [DEBUG] 今日头条 - undefined
[2016-11-27 17:34:14.725] [DEBUG] 今日头条 - undefined
[2016-11-27 17:34:14.807] [DEBUG] 今日头条 - undefined
[2016-11-27 17:34:14.898] [DEBUG] 今日头条 - undefined
[2016-11-27 17:34:14.970] [DEBUG] 今日头条 - undefined
[2016-11-27 17:34:15.048] [DEBUG] 今日头条 - undefined
[2016-11-27 17:34:15.137] [DEBUG] 今日头条 - undefined
[2016-11-27 17:34:15.208] [DEBUG] 今日头条 - undefined
