[2016-11-26 23:07:04.087] [TRACE] 今日头条 - DealWith instantiation ...
[2016-11-26 23:07:04.097] [TRACE] 今日头条 - spiderCore instantiation ...
[2016-11-26 23:07:04.097] [TRACE] 今日头条 - 启动函数
[2016-11-26 23:07:04.127] [DEBUG] 今日头条 - 任务信息数据库连接建立...成功
[2016-11-26 23:07:04.127] [DEBUG] 今日头条 - 缓存队列数据库连接建立...成功
[2016-11-26 23:07:04.127] [DEBUG] 今日头条 - 创建数据库连接完毕
[2016-11-26 23:07:04.127] [INFO] 今日头条 - { p: '6', id: '6518345701', name: '共赏雅俗' }
[2016-11-26 23:07:04.546] [DEBUG] 今日头条 - undefined
[2016-11-26 23:07:04.906] [DEBUG] 今日头条 - undefined
[2016-11-26 23:07:05.265] [DEBUG] 今日头条 - undefined
[2016-11-26 23:07:05.617] [DEBUG] 今日头条 - undefined
[2016-11-26 23:07:06.388] [DEBUG] 今日头条 - undefined
[2016-11-26 23:07:06.758] [DEBUG] 今日头条 - undefined
