[2016-11-28 11:20:22.210] [TRACE] 今日头条 - DealWith instantiation ...
[2016-11-28 11:20:22.210] [TRACE] 今日头条 - spiderCore instantiation ...
[2016-11-28 11:20:22.221] [TRACE] 今日头条 - 启动函数
[2016-11-28 11:20:22.250] [DEBUG] 今日头条 - 任务信息数据库连接建立...成功
[2016-11-28 11:20:22.250] [DEBUG] 今日头条 - 缓存队列数据库连接建立...成功
[2016-11-28 11:20:22.250] [DEBUG] 今日头条 - 创建数据库连接完毕
[2016-11-28 11:20:22.250] [INFO] 今日头条 - { p: '6', id: '6621038696', name: '聊斋那些事儿' }
[2016-11-28 11:20:22.285] [DEBUG] 今日头条 - undefined
[2016-11-28 11:20:22.801] [DEBUG] 今日头条 - 1480136374-=-=-=-=-=-=-=
[2016-11-28 11:20:24.629] [DEBUG] 今日头条 - 1480136374
[2016-11-28 11:20:24.891] [DEBUG] 今日头条 - 1480136374-=-=-=-=-=-=-=
[2016-11-28 11:20:26.304] [DEBUG] 今日头条 - 1480136374
[2016-11-28 11:20:26.601] [DEBUG] 今日头条 - 1480136374-=-=-=-=-=-=-=
[2016-11-28 11:20:30.517] [DEBUG] 今日头条 - 1480136374
[2016-11-28 11:20:30.753] [DEBUG] 今日头条 - 1480136374-=-=-=-=-=-=-=
[2016-11-28 11:20:33.305] [DEBUG] 今日头条 - 1480136374
[2016-11-28 11:20:34.176] [DEBUG] 今日头条 - 1480136374-=-=-=-=-=-=-=
[2016-11-28 11:20:38.118] [DEBUG] 今日头条 - 1480136374
[2016-11-28 11:20:38.791] [DEBUG] 今日头条 - 1480136374-=-=-=-=-=-=-=
