[2016-11-28 12:20:09.408] [TRACE] 今日头条 - DealWith instantiation ...
[2016-11-28 12:20:09.417] [TRACE] 今日头条 - spiderCore instantiation ...
[2016-11-28 12:20:09.419] [TRACE] 今日头条 - 启动函数
[2016-11-28 12:20:09.448] [DEBUG] 今日头条 - 任务信息数据库连接建立...成功
[2016-11-28 12:20:09.449] [DEBUG] 今日头条 - 缓存队列数据库连接建立...成功
[2016-11-28 12:20:09.451] [DEBUG] 今日头条 - 创建数据库连接完毕
[2016-11-28 12:20:09.453] [INFO] 今日头条 - { p: '6', id: '6621038696', name: '聊斋那些事儿' }
[2016-11-28 12:20:10.055] [DEBUG] 今日头条 - undefined
[2016-11-28 12:20:10.143] [DEBUG] 今日头条 - undefined
[2016-11-28 12:20:10.209] [DEBUG] 今日头条 - undefined
[2016-11-28 12:20:10.285] [DEBUG] 今日头条 - undefined
[2016-11-28 12:20:10.365] [DEBUG] 今日头条 - undefined
[2016-11-28 12:20:10.448] [DEBUG] 今日头条 - undefined
[2016-11-28 12:20:10.525] [DEBUG] 今日头条 - undefined
[2016-11-28 12:20:10.615] [DEBUG] 今日头条 - undefined
