[2016-11-27 15:53:27.219] [TRACE] 今日头条 - DealWith instantiation ...
[2016-11-27 15:53:27.234] [TRACE] 今日头条 - spiderCore instantiation ...
[2016-11-27 15:53:27.234] [TRACE] 今日头条 - 启动函数
[2016-11-27 15:53:27.269] [DEBUG] 今日头条 - 任务信息数据库连接建立...成功
[2016-11-27 15:53:27.269] [DEBUG] 今日头条 - 缓存队列数据库连接建立...成功
[2016-11-27 15:53:27.269] [DEBUG] 今日头条 - 创建数据库连接完毕
[2016-11-27 15:53:27.269] [INFO] 今日头条 - { p: '6', id: '50747865579', name: ' 万言说娱乐' }
[2016-11-27 15:53:27.508] [DEBUG] 今日头条 - 周立波,黄渤-----http://p2.pstatp.com/list/f8a00127c7f0970af11
[2016-11-27 15:53:27.617] [DEBUG] 今日头条 - 周立波,黄渤-----http://p2.pstatp.com/list/f8a00127c7f0970af11
[2016-11-27 15:53:27.703] [DEBUG] 今日头条 - 刘诗诗-----http://p2.pstatp.com/list/f8c0006a8051b6d2a55
[2016-11-27 15:53:27.770] [DEBUG] 今日头条 - 岳云鹏,郭德纲,潘阳-----http://p2.pstatp.com/list/101c00031aca9c132cbe
[2016-11-27 15:53:27.869] [DEBUG] 今日头条 - 周星驰-----http://p2.pstatp.com/list/ee900112b74df0ced6d
[2016-11-27 15:53:27.953] [DEBUG] 今日头条 - -----http://p2.pstatp.com/list/e8f0008241f15b7774c
[2016-11-27 15:53:28.030] [DEBUG] 今日头条 - 婚外情,谢沛恩-----http://p2.pstatp.com/list/e5a000a9dabcd3b4b95
[2016-11-27 15:53:28.131] [DEBUG] 今日头条 - 婚外情,谢沛恩-----http://p2.pstatp.com/list/e5a000a9dabcd3b4b95
[2016-11-27 15:53:28.209] [DEBUG] 今日头条 - 婚外情,谢沛恩-----http://p2.pstatp.com/list/e5a000a9dabcd3b4b95
[2016-11-27 15:53:28.296] [DEBUG] 今日头条 - 婚外情,谢沛恩-----http://p2.pstatp.com/list/e5a000a9dabcd3b4b95
[2016-11-27 15:53:28.542] [DEBUG] 今日头条 - 婚外情,谢沛恩-----http://p2.pstatp.com/list/e5a000a9dabcd3b4b95
[2016-11-27 15:53:28.617] [DEBUG] 今日头条 - 婚外情,谢沛恩-----http://p2.pstatp.com/list/e5a000a9dabcd3b4b95
[2016-11-27 15:53:28.692] [DEBUG] 今日头条 - 婚外情,谢沛恩-----http://p2.pstatp.com/list/e5a000a9dabcd3b4b95
[2016-11-27 15:53:28.778] [DEBUG] 今日头条 - 婚外情,谢沛恩-----http://p2.pstatp.com/list/e5a000a9dabcd3b4b95
[2016-11-27 15:53:28.939] [DEBUG] 今日头条 - 婚外情,谢沛恩-----http://p2.pstatp.com/list/e5a000a9dabcd3b4b95
[2016-11-27 15:53:29.121] [DEBUG] 今日头条 - 婚外情,谢沛恩-----http://p2.pstatp.com/list/e5a000a9dabcd3b4b95
[2016-11-27 15:53:29.299] [DEBUG] 今日头条 - 婚外情,谢沛恩-----http://p2.pstatp.com/list/e5a000a9dabcd3b4b95
[2016-11-27 15:53:29.508] [DEBUG] 今日头条 - 婚外情,谢沛恩-----http://p2.pstatp.com/list/e5a000a9dabcd3b4b95
[2016-11-27 15:53:29.690] [DEBUG] 今日头条 - 婚外情,谢沛恩-----http://p2.pstatp.com/list/e5a000a9dabcd3b4b95
[2016-11-27 15:53:29.877] [DEBUG] 今日头条 - 婚外情,谢沛恩-----http://p2.pstatp.com/list/e5a000a9dabcd3b4b95
[2016-11-27 15:53:30.189] [DEBUG] 今日头条 - 婚外情,谢沛恩-----http://p2.pstatp.com/list/e5a000a9dabcd3b4b95
[2016-11-27 15:53:30.394] [DEBUG] 今日头条 - 婚外情,谢沛恩-----http://p2.pstatp.com/list/e5a000a9dabcd3b4b95
[2016-11-27 15:53:30.554] [DEBUG] 今日头条 - 婚外情,谢沛恩-----http://p2.pstatp.com/list/e5a000a9dabcd3b4b95
[2016-11-27 15:53:30.763] [DEBUG] 今日头条 - 婚外情,谢沛恩-----http://p2.pstatp.com/list/e5a000a9dabcd3b4b95
[2016-11-27 15:53:30.948] [DEBUG] 今日头条 - 婚外情,谢沛恩-----http://p2.pstatp.com/list/e5a000a9dabcd3b4b95
[2016-11-27 15:53:31.107] [DEBUG] 今日头条 - 婚外情,谢沛恩-----http://p2.pstatp.com/list/e5a000a9dabcd3b4b95
[2016-11-27 15:53:31.293] [DEBUG] 今日头条 - 婚外情,谢沛恩-----http://p2.pstatp.com/list/e5a000a9dabcd3b4b95
[2016-11-27 15:53:31.456] [DEBUG] 今日头条 - 婚外情,谢沛恩-----http://p2.pstatp.com/list/e5a000a9dabcd3b4b95
[2016-11-27 15:53:31.614] [DEBUG] 今日头条 - 婚外情,谢沛恩-----http://p2.pstatp.com/list/e5a000a9dabcd3b4b95
[2016-11-27 15:53:31.811] [DEBUG] 今日头条 - 婚外情,谢沛恩-----http://p2.pstatp.com/list/e5a000a9dabcd3b4b95
[2016-11-27 15:53:32.079] [DEBUG] 今日头条 - 婚外情,谢沛恩-----http://p2.pstatp.com/list/e5a000a9dabcd3b4b95
[2016-11-27 15:53:32.313] [DEBUG] 今日头条 - 婚外情,谢沛恩-----http://p2.pstatp.com/list/e5a000a9dabcd3b4b95
[2016-11-27 15:53:32.490] [DEBUG] 今日头条 - 婚外情,谢沛恩-----http://p2.pstatp.com/list/e5a000a9dabcd3b4b95
[2016-11-27 15:53:32.672] [DEBUG] 今日头条 - 婚外情,谢沛恩-----http://p2.pstatp.com/list/e5a000a9dabcd3b4b95
[2016-11-27 15:53:32.857] [DEBUG] 今日头条 - 婚外情,谢沛恩-----http://p2.pstatp.com/list/e5a000a9dabcd3b4b95
[2016-11-27 15:53:33.039] [DEBUG] 今日头条 - 婚外情,谢沛恩-----http://p2.pstatp.com/list/e5a000a9dabcd3b4b95
[2016-11-27 15:53:33.362] [DEBUG] 今日头条 - 婚外情,谢沛恩-----http://p2.pstatp.com/list/e5a000a9dabcd3b4b95
