[2016-11-26 23:00:52.379] [TRACE] 今日头条 - DealWith instantiation ...
[2016-11-26 23:00:52.386] [TRACE] 今日头条 - spiderCore instantiation ...
[2016-11-26 23:00:52.387] [TRACE] 今日头条 - 启动函数
[2016-11-26 23:00:52.417] [DEBUG] 今日头条 - 任务信息数据库连接建立...成功
[2016-11-26 23:00:52.419] [DEBUG] 今日头条 - 缓存队列数据库连接建立...成功
[2016-11-26 23:00:52.421] [DEBUG] 今日头条 - 创建数据库连接完毕
[2016-11-26 23:00:52.422] [INFO] 今日头条 - { p: '6', id: '6518345701', name: '共赏雅俗' }
[2016-11-26 23:00:52.638] [DEBUG] 今日头条 - 共赏雅俗
[2016-11-26 23:00:52.826] [DEBUG] 今日头条 - 共赏雅俗
[2016-11-26 23:00:52.906] [DEBUG] 今日头条 - 共赏雅俗
[2016-11-26 23:00:52.972] [DEBUG] 今日头条 - 共赏雅俗
[2016-11-26 23:00:53.052] [DEBUG] 今日头条 - 共赏雅俗
[2016-11-26 23:00:53.143] [DEBUG] 今日头条 - 共赏雅俗
[2016-11-26 23:00:53.228] [DEBUG] 今日头条 - 共赏雅俗
[2016-11-26 23:00:53.295] [DEBUG] 今日头条 - 共赏雅俗
[2016-11-26 23:00:53.552] [DEBUG] 今日头条 - 共赏雅俗
[2016-11-26 23:00:53.633] [DEBUG] 今日头条 - 共赏雅俗
[2016-11-26 23:00:53.877] [DEBUG] 今日头条 - 共赏雅俗
[2016-11-26 23:00:53.965] [DEBUG] 今日头条 - 共赏雅俗
[2016-11-26 23:00:54.046] [DEBUG] 今日头条 - 共赏雅俗
[2016-11-26 23:00:54.147] [DEBUG] 今日头条 - 共赏雅俗
[2016-11-26 23:00:54.400] [DEBUG] 今日头条 - 共赏雅俗
