[2017-01-05 16:15:31.006] [TRACE] 第一视频 - DealWith instantiation ...
[2017-01-05 16:16:13.074] [DEBUG] 第一视频 - 第一视频 14457849 加入缓存队列
[2017-01-05 16:16:13.645] [DEBUG] 第一视频 - 第一视频 14457806 加入缓存队列
[2017-01-05 16:16:15.111] [DEBUG] 第一视频 - 第一视频 14457782 加入缓存队列
[2017-01-05 16:16:15.598] [DEBUG] 第一视频 - 第一视频 14419523 加入缓存队列
[2017-01-05 16:16:16.746] [DEBUG] 第一视频 - 第一视频 14457205 加入缓存队列
[2017-01-05 16:16:18.432] [DEBUG] 第一视频 - 第一视频 14456788 加入缓存队列
[2017-01-05 16:16:20.918] [DEBUG] 第一视频 - 第一视频 14456744 加入缓存队列
[2017-01-05 16:16:21.966] [DEBUG] 第一视频 - 第一视频 14456602 加入缓存队列
[2017-01-05 16:16:23.144] [DEBUG] 第一视频 - 第一视频 14456510 加入缓存队列
[2017-01-05 16:16:24.203] [DEBUG] 第一视频 - 第一视频 14456458 加入缓存队列
[2017-01-05 16:16:24.747] [DEBUG] 第一视频 - 第一视频 14456211 加入缓存队列
[2017-01-05 16:16:26.225] [DEBUG] 第一视频 - 第一视频 14456213 加入缓存队列
[2017-01-05 16:16:27.380] [DEBUG] 第一视频 - 第一视频 14456181 加入缓存队列
[2017-01-05 16:16:28.690] [DEBUG] 第一视频 - 第一视频 14456148 加入缓存队列
[2017-01-05 16:16:29.183] [DEBUG] 第一视频 - 第一视频 14456132 加入缓存队列
[2017-01-05 16:16:30.372] [DEBUG] 第一视频 - 第一视频 14455935 加入缓存队列
[2017-01-05 16:16:30.871] [DEBUG] 第一视频 - 第一视频 14455328 加入缓存队列
[2017-01-05 16:16:31.427] [DEBUG] 第一视频 - 第一视频 14455895 加入缓存队列
[2017-01-05 16:16:32.619] [DEBUG] 第一视频 - 第一视频 14455859 加入缓存队列
[2017-01-05 16:16:33.354] [DEBUG] 第一视频 - 第一视频 14455612 加入缓存队列
[2017-01-05 16:16:33.937] [DEBUG] 第一视频 - 第一视频 14455606 加入缓存队列
[2017-01-05 16:16:35.258] [DEBUG] 第一视频 - 第一视频 14454921 加入缓存队列
[2017-01-05 16:16:38.053] [DEBUG] 第一视频 - 第一视频 14455534 加入缓存队列
[2017-01-05 16:16:38.541] [DEBUG] 第一视频 - 第一视频 14454379 加入缓存队列
[2017-01-05 16:16:39.599] [DEBUG] 第一视频 - 第一视频 14455038 加入缓存队列
[2017-01-05 16:16:40.091] [DEBUG] 第一视频 - 第一视频 14455034 加入缓存队列
[2017-01-05 16:16:41.203] [DEBUG] 第一视频 - 第一视频 14454752 加入缓存队列
[2017-01-05 16:16:42.149] [DEBUG] 第一视频 - 第一视频 14454735 加入缓存队列
[2017-01-05 16:16:44.111] [DEBUG] 第一视频 - 第一视频 14454697 加入缓存队列
[2017-01-05 16:16:46.030] [DEBUG] 第一视频 - 第一视频 14454618 加入缓存队列
[2017-01-05 16:16:46.854] [DEBUG] 第一视频 - 第一视频 14454347 加入缓存队列
[2017-01-05 16:16:47.464] [DEBUG] 第一视频 - 第一视频 14454284 加入缓存队列
[2017-01-05 16:16:49.501] [DEBUG] 第一视频 - 第一视频 14454288 加入缓存队列
[2017-01-05 16:16:50.025] [DEBUG] 第一视频 - 第一视频 14454055 加入缓存队列
[2017-01-05 16:16:50.791] [DEBUG] 第一视频 - 第一视频 14454040 加入缓存队列
[2017-01-05 16:16:54.596] [DEBUG] 第一视频 - 第一视频 14454003 加入缓存队列
[2017-01-05 16:16:55.540] [DEBUG] 第一视频 - 第一视频 14453986 加入缓存队列
[2017-01-05 16:16:56.249] [DEBUG] 第一视频 - 第一视频 14453156 加入缓存队列
[2017-01-05 16:16:57.992] [DEBUG] 第一视频 - 第一视频 14449562 加入缓存队列
[2017-01-05 16:17:19.472] [DEBUG] 第一视频 - 第一视频 14453073 加入缓存队列
[2017-01-05 16:17:20.620] [DEBUG] 第一视频 - 第一视频 14453052 加入缓存队列
[2017-01-05 16:17:22.024] [DEBUG] 第一视频 - 第一视频 14452816 加入缓存队列
[2017-01-05 16:17:23.213] [DEBUG] 第一视频 - 第一视频 14448917 加入缓存队列
[2017-01-05 16:17:24.269] [DEBUG] 第一视频 - 第一视频 14450467 加入缓存队列
[2017-01-05 16:17:25.110] [DEBUG] 第一视频 - 第一视频 14450215 加入缓存队列
[2017-01-05 16:17:25.823] [DEBUG] 第一视频 - 第一视频 14449272 加入缓存队列
[2017-01-05 16:17:26.891] [DEBUG] 第一视频 - 第一视频 14449240 加入缓存队列
[2017-01-05 16:17:27.733] [DEBUG] 第一视频 - 第一视频 14448950 加入缓存队列
[2017-01-05 16:17:28.779] [DEBUG] 第一视频 - 第一视频 14447436 加入缓存队列
[2017-01-05 16:17:29.901] [DEBUG] 第一视频 - 第一视频 14448392 加入缓存队列
[2017-01-05 16:17:30.782] [DEBUG] 第一视频 - 第一视频 14448914 加入缓存队列
[2017-01-05 16:17:31.597] [DEBUG] 第一视频 - 第一视频 14448875 加入缓存队列
[2017-01-05 16:17:32.819] [DEBUG] 第一视频 - 第一视频 14448598 加入缓存队列
[2017-01-05 16:17:34.037] [DEBUG] 第一视频 - 第一视频 14448389 加入缓存队列
[2017-01-05 16:17:34.670] [DEBUG] 第一视频 - 第一视频 14447676 加入缓存队列
[2017-01-05 16:17:35.442] [DEBUG] 第一视频 - 第一视频 14448348 加入缓存队列
[2017-01-05 16:17:36.308] [DEBUG] 第一视频 - 第一视频 14448345 加入缓存队列
[2017-01-05 16:17:37.364] [DEBUG] 第一视频 - 第一视频 14448231 加入缓存队列
[2017-01-05 16:17:38.196] [DEBUG] 第一视频 - 第一视频 14448046 加入缓存队列
[2017-01-05 16:17:39.092] [DEBUG] 第一视频 - 第一视频 14448017 加入缓存队列
