[2017-01-22 14:04:26.858] [TRACE] 风行网 - DealWith instantiation ...
[2017-01-22 14:04:26.889] [TRACE] 风行网 - spiderCore instantiation ...
[2017-01-22 14:04:26.889] [TRACE] 风行网 - 启动函数
[2017-01-22 14:04:27.060] [DEBUG] 风行网 - 任务信息数据库连接建立...成功
[2017-01-22 14:04:27.060] [DEBUG] 风行网 - 缓存队列数据库连接建立...成功
[2017-01-22 14:04:27.060] [DEBUG] 风行网 - 创建数据库连接完毕
[2017-01-22 14:04:28.449] [DEBUG] 风行网 - 风行 876171 加入缓存队列
[2017-01-22 14:04:28.873] [DEBUG] 风行网 - 风行 875873 加入缓存队列
[2017-01-22 14:04:30.479] [DEBUG] 风行网 - 风行 875317 加入缓存队列
[2017-01-22 14:04:30.900] [DEBUG] 风行网 - 风行 874919 加入缓存队列
[2017-01-22 14:04:31.352] [DEBUG] 风行网 - 风行 874913 加入缓存队列
[2017-01-22 14:04:31.836] [DEBUG] 风行网 - 风行 874735 加入缓存队列
[2017-01-22 14:04:32.320] [DEBUG] 风行网 - 风行 874661 加入缓存队列
[2017-01-22 14:04:32.788] [DEBUG] 风行网 - 风行 874405 加入缓存队列
[2017-01-22 14:04:33.427] [DEBUG] 风行网 - 风行 874105 加入缓存队列
[2017-01-22 14:04:34.077] [DEBUG] 风行网 - 风行 873881 加入缓存队列
[2017-01-22 14:04:36.085] [DEBUG] 风行网 - 风行 873425 加入缓存队列
[2017-01-22 14:04:37.114] [DEBUG] 风行网 - 风行 873421 加入缓存队列
[2017-01-22 14:04:37.863] [DEBUG] 风行网 - 风行 873273 加入缓存队列
[2017-01-22 14:04:38.628] [DEBUG] 风行网 - 风行 873259 加入缓存队列
[2017-01-22 14:04:39.406] [DEBUG] 风行网 - 风行 872949 加入缓存队列
[2017-01-22 14:04:40.178] [DEBUG] 风行网 - 风行 872555 加入缓存队列
[2017-01-22 14:04:40.909] [DEBUG] 风行网 - 风行 872327 加入缓存队列
[2017-01-22 14:04:41.674] [DEBUG] 风行网 - 风行 872329 加入缓存队列
[2017-01-22 14:04:42.645] [DEBUG] 风行网 - 风行 872099 加入缓存队列
[2017-01-22 14:04:43.378] [DEBUG] 风行网 - 风行 872547 加入缓存队列
[2017-01-22 14:04:44.154] [DEBUG] 风行网 - 风行 871707 加入缓存队列
[2017-01-22 14:04:44.941] [DEBUG] 风行网 - 风行 871581 加入缓存队列
[2017-01-22 14:04:45.697] [DEBUG] 风行网 - 风行 871015 加入缓存队列
[2017-01-22 14:04:46.462] [DEBUG] 风行网 - 风行 870529 加入缓存队列
[2017-01-22 14:04:47.211] [DEBUG] 风行网 - 风行 870523 加入缓存队列
[2017-01-22 14:04:47.931] [DEBUG] 风行网 - 风行 870265 加入缓存队列
[2017-01-22 14:04:48.680] [DEBUG] 风行网 - 风行 870255 加入缓存队列
[2017-01-22 14:04:49.429] [DEBUG] 风行网 - 风行 869859 加入缓存队列
[2017-01-22 14:04:50.246] [DEBUG] 风行网 - 风行 869683 加入缓存队列
[2017-01-22 14:04:50.938] [DEBUG] 风行网 - 风行 869359 加入缓存队列
[2017-01-22 14:04:51.656] [DEBUG] 风行网 - 风行 868867 加入缓存队列
[2017-01-22 14:04:52.639] [DEBUG] 风行网 - 风行 868865 加入缓存队列
[2017-01-22 14:04:53.388] [DEBUG] 风行网 - 风行 868641 加入缓存队列
[2017-01-22 14:04:54.137] [DEBUG] 风行网 - 风行 867977 加入缓存队列
[2017-01-22 14:04:54.902] [DEBUG] 风行网 - 风行 867975 加入缓存队列
[2017-01-22 14:04:55.696] [DEBUG] 风行网 - 风行 867785 加入缓存队列
[2017-01-22 14:04:56.447] [DEBUG] 风行网 - 风行 867249 加入缓存队列
[2017-01-22 14:04:57.213] [DEBUG] 风行网 - 风行 866679 加入缓存队列
[2017-01-22 14:04:57.962] [DEBUG] 风行网 - 风行 866245 加入缓存队列
[2017-01-22 14:04:58.682] [DEBUG] 风行网 - 风行 865607 加入缓存队列
[2017-01-22 14:04:59.418] [DEBUG] 风行网 - 风行 865603 加入缓存队列
[2017-01-22 14:05:00.180] [DEBUG] 风行网 - 风行 866241 加入缓存队列
[2017-01-22 14:05:00.994] [DEBUG] 风行网 - 风行 864589 加入缓存队列
[2017-01-22 14:05:01.774] [DEBUG] 风行网 - 风行 864075 加入缓存队列
[2017-01-22 14:05:03.584] [DEBUG] 风行网 - 风行 863199 加入缓存队列
[2017-01-22 14:05:04.375] [DEBUG] 风行网 - 风行 863201 加入缓存队列
[2017-01-22 14:05:05.137] [DEBUG] 风行网 - 风行 862699 加入缓存队列
[2017-01-22 14:05:05.913] [DEBUG] 风行网 - 风行 862607 加入缓存队列
