[2017-01-20 19:50:34.194] [TRACE] 风行网 - DealWith instantiation ...
[2017-01-20 19:50:34.205] [TRACE] 风行网 - spiderCore instantiation ...
[2017-01-20 19:50:34.208] [TRACE] 风行网 - 启动函数
[2017-01-20 19:50:34.246] [DEBUG] 风行网 - 任务信息数据库连接建立...成功
[2017-01-20 19:50:34.250] [DEBUG] 风行网 - 缓存队列数据库连接建立...成功
[2017-01-20 19:50:34.252] [DEBUG] 风行网 - 创建数据库连接完毕
[2017-01-20 19:50:35.279] [DEBUG] 风行网 - 风行 8017512 加入缓存队列
[2017-01-20 19:50:35.374] [DEBUG] 风行网 - 风行 8014609 加入缓存队列
[2017-01-20 19:50:35.463] [DEBUG] 风行网 - 风行 8012401 加入缓存队列
[2017-01-20 19:50:35.545] [DEBUG] 风行网 - 风行 8012319 加入缓存队列
[2017-01-20 19:50:35.630] [DEBUG] 风行网 - 风行 8009731 加入缓存队列
[2017-01-20 19:50:35.727] [DEBUG] 风行网 - 风行 8002765 加入缓存队列
[2017-01-20 19:50:35.835] [DEBUG] 风行网 - 风行 8001168 加入缓存队列
[2017-01-20 19:50:35.930] [DEBUG] 风行网 - 风行 4530532 加入缓存队列
[2017-01-20 19:50:36.019] [DEBUG] 风行网 - 风行 4530503 加入缓存队列
[2017-01-20 19:50:36.110] [DEBUG] 风行网 - 风行 4530466 加入缓存队列
[2017-01-20 19:50:36.195] [DEBUG] 风行网 - 风行 4530446 加入缓存队列
[2017-01-20 19:50:36.296] [DEBUG] 风行网 - 风行 4530173 加入缓存队列
[2017-01-20 19:50:36.374] [DEBUG] 风行网 - 风行 4527929 加入缓存队列
[2017-01-20 19:50:36.476] [DEBUG] 风行网 - 风行 4525123 加入缓存队列
[2017-01-20 19:50:36.570] [DEBUG] 风行网 - 风行 4524100 加入缓存队列
[2017-01-20 19:50:36.654] [DEBUG] 风行网 - 风行 4522972 加入缓存队列
[2017-01-20 19:50:36.754] [DEBUG] 风行网 - 风行 4522265 加入缓存队列
[2017-01-20 19:50:36.836] [DEBUG] 风行网 - 风行 4521929 加入缓存队列
[2017-01-20 19:50:36.921] [DEBUG] 风行网 - 风行 4519749 加入缓存队列
[2017-01-20 19:50:37.022] [DEBUG] 风行网 - 风行 4518379 加入缓存队列
[2017-01-20 19:50:37.116] [DEBUG] 风行网 - 风行 4518233 加入缓存队列
[2017-01-20 19:50:37.212] [DEBUG] 风行网 - 风行 4517663 加入缓存队列
[2017-01-20 19:50:37.297] [DEBUG] 风行网 - 风行 4514764 加入缓存队列
[2017-01-20 19:50:37.401] [DEBUG] 风行网 - 风行 4513492 加入缓存队列
[2017-01-20 19:50:37.488] [DEBUG] 风行网 - 风行 4511483 加入缓存队列
[2017-01-20 19:50:37.586] [DEBUG] 风行网 - 风行 4510125 加入缓存队列
[2017-01-20 19:50:37.684] [DEBUG] 风行网 - 风行 4509617 加入缓存队列
[2017-01-20 19:50:37.791] [DEBUG] 风行网 - 风行 4508886 加入缓存队列
[2017-01-20 19:50:37.880] [DEBUG] 风行网 - 风行 4505000 加入缓存队列
[2017-01-20 19:50:37.971] [DEBUG] 风行网 - 风行 4501313 加入缓存队列
[2017-01-20 19:50:38.040] [DEBUG] 风行网 - 风行 4500266 加入缓存队列
[2017-01-20 19:50:38.145] [DEBUG] 风行网 - 风行 4498458 加入缓存队列
[2017-01-20 19:50:38.245] [DEBUG] 风行网 - 风行 4497680 加入缓存队列
[2017-01-20 19:50:38.325] [DEBUG] 风行网 - 风行 4491887 加入缓存队列
[2017-01-20 19:50:38.425] [DEBUG] 风行网 - 风行 4490522 加入缓存队列
[2017-01-20 19:50:38.519] [DEBUG] 风行网 - 风行 4490327 加入缓存队列
[2017-01-20 19:50:38.596] [DEBUG] 风行网 - 风行 4490324 加入缓存队列
[2017-01-20 19:50:38.689] [DEBUG] 风行网 - 风行 4490304 加入缓存队列
[2017-01-20 19:50:38.777] [DEBUG] 风行网 - 风行 4489270 加入缓存队列
[2017-01-20 19:50:38.861] [DEBUG] 风行网 - 风行 4487569 加入缓存队列
