[2017-01-20 20:01:49.063] [TRACE] 风行网 - DealWith instantiation ...
[2017-01-20 20:01:49.072] [TRACE] 风行网 - spiderCore instantiation ...
[2017-01-20 20:01:49.075] [TRACE] 风行网 - 启动函数
[2017-01-20 20:01:49.106] [DEBUG] 风行网 - 任务信息数据库连接建立...成功
[2017-01-20 20:01:49.108] [DEBUG] 风行网 - 缓存队列数据库连接建立...成功
[2017-01-20 20:01:49.109] [DEBUG] 风行网 - 创建数据库连接完毕
[2017-01-20 20:01:49.450] [INFO] 风行网 - { bid: 608, platform: 34, fans_num: '1044' }
[2017-01-20 20:01:49.707] [DEBUG] 风行网 - 风行用户: 608 back_end
[2017-01-20 20:01:49.767] [DEBUG] 风行网 - 风行 8017512 加入缓存队列
[2017-01-20 20:01:49.856] [DEBUG] 风行网 - 风行 8014609 加入缓存队列
[2017-01-20 20:01:49.939] [DEBUG] 风行网 - 风行 8012401 加入缓存队列
[2017-01-20 20:01:50.032] [DEBUG] 风行网 - 风行 8012319 加入缓存队列
[2017-01-20 20:01:50.118] [DEBUG] 风行网 - 风行 8009731 加入缓存队列
[2017-01-20 20:01:50.215] [DEBUG] 风行网 - 风行 8002765 加入缓存队列
[2017-01-20 20:01:50.295] [DEBUG] 风行网 - 风行 8001168 加入缓存队列
[2017-01-20 20:01:50.383] [DEBUG] 风行网 - 风行 4530532 加入缓存队列
[2017-01-20 20:01:50.464] [DEBUG] 风行网 - 风行 4530503 加入缓存队列
[2017-01-20 20:01:50.547] [DEBUG] 风行网 - 风行 4530466 加入缓存队列
[2017-01-20 20:01:50.623] [DEBUG] 风行网 - 风行 4530446 加入缓存队列
[2017-01-20 20:01:50.696] [DEBUG] 风行网 - 风行 4530173 加入缓存队列
[2017-01-20 20:01:50.800] [DEBUG] 风行网 - 风行 4527929 加入缓存队列
[2017-01-20 20:01:50.901] [DEBUG] 风行网 - 风行 4525123 加入缓存队列
[2017-01-20 20:01:50.983] [DEBUG] 风行网 - 风行 4524100 加入缓存队列
[2017-01-20 20:01:51.063] [DEBUG] 风行网 - 风行 4522972 加入缓存队列
[2017-01-20 20:01:51.137] [DEBUG] 风行网 - 风行 4522265 加入缓存队列
[2017-01-20 20:01:51.218] [DEBUG] 风行网 - 风行 4521929 加入缓存队列
[2017-01-20 20:01:51.307] [DEBUG] 风行网 - 风行 4519749 加入缓存队列
[2017-01-20 20:01:51.433] [DEBUG] 风行网 - 风行 4518379 加入缓存队列
[2017-01-20 20:01:51.512] [DEBUG] 风行网 - 风行 4518233 加入缓存队列
[2017-01-20 20:01:51.594] [DEBUG] 风行网 - 风行 4517663 加入缓存队列
[2017-01-20 20:01:51.673] [DEBUG] 风行网 - 风行 4514764 加入缓存队列
[2017-01-20 20:01:51.751] [DEBUG] 风行网 - 风行 4513492 加入缓存队列
[2017-01-20 20:01:51.827] [DEBUG] 风行网 - 风行 4511483 加入缓存队列
[2017-01-20 20:01:51.909] [DEBUG] 风行网 - 风行 4510125 加入缓存队列
[2017-01-20 20:01:52.012] [DEBUG] 风行网 - 风行 4509617 加入缓存队列
[2017-01-20 20:01:52.098] [DEBUG] 风行网 - 风行 4508886 加入缓存队列
[2017-01-20 20:01:52.178] [DEBUG] 风行网 - 风行 4505000 加入缓存队列
[2017-01-20 20:01:52.256] [DEBUG] 风行网 - 风行 4501313 加入缓存队列
[2017-01-20 20:01:52.334] [DEBUG] 风行网 - 风行 4500266 加入缓存队列
[2017-01-20 20:01:52.394] [DEBUG] 风行网 - 风行 4498458 加入缓存队列
[2017-01-20 20:01:52.478] [DEBUG] 风行网 - 风行 4497680 加入缓存队列
[2017-01-20 20:01:52.549] [DEBUG] 风行网 - 风行 4491887 加入缓存队列
[2017-01-20 20:01:52.632] [DEBUG] 风行网 - 风行 4490522 加入缓存队列
[2017-01-20 20:01:52.706] [DEBUG] 风行网 - 风行 4490327 加入缓存队列
[2017-01-20 20:01:52.783] [DEBUG] 风行网 - 风行 4490324 加入缓存队列
[2017-01-20 20:01:52.859] [DEBUG] 风行网 - 风行 4490304 加入缓存队列
[2017-01-20 20:01:52.946] [DEBUG] 风行网 - 风行 4489270 加入缓存队列
[2017-01-20 20:01:53.009] [DEBUG] 风行网 - 风行 4487569 加入缓存队列
[2017-01-20 20:01:53.091] [DEBUG] 风行网 - 风行 4486287 加入缓存队列
[2017-01-20 20:01:53.193] [DEBUG] 风行网 - 风行 4485583 加入缓存队列
[2017-01-20 20:01:53.278] [DEBUG] 风行网 - 风行 4485379 加入缓存队列
[2017-01-20 20:01:53.359] [DEBUG] 风行网 - 风行 4485321 加入缓存队列
[2017-01-20 20:01:53.451] [DEBUG] 风行网 - 风行 4483291 加入缓存队列
[2017-01-20 20:01:53.531] [DEBUG] 风行网 - 风行 4480990 加入缓存队列
[2017-01-20 20:01:53.609] [DEBUG] 风行网 - 风行 4479277 加入缓存队列
[2017-01-20 20:01:53.690] [DEBUG] 风行网 - 风行 4477810 加入缓存队列
[2017-01-20 20:01:53.766] [DEBUG] 风行网 - 风行 4477240 加入缓存队列
[2017-01-20 20:01:53.863] [DEBUG] 风行网 - 风行 4477021 加入缓存队列
[2017-01-20 20:01:54.456] [DEBUG] 风行网 - 风行 9082163 加入缓存队列
[2017-01-20 20:01:54.558] [DEBUG] 风行网 - 风行 9021039 加入缓存队列
[2017-01-20 20:01:54.638] [DEBUG] 风行网 - 风行 8964715 加入缓存队列
[2017-01-20 20:01:54.736] [DEBUG] 风行网 - 风行 8924411 加入缓存队列
