[2017-01-20 20:00:24.344] [TRACE] 风行网 - DealWith instantiation ...
[2017-01-20 20:00:24.362] [TRACE] 风行网 - spiderCore instantiation ...
[2017-01-20 20:00:24.366] [TRACE] 风行网 - 启动函数
[2017-01-20 20:00:24.429] [DEBUG] 风行网 - 任务信息数据库连接建立...成功
[2017-01-20 20:00:24.433] [DEBUG] 风行网 - 缓存队列数据库连接建立...成功
[2017-01-20 20:00:24.436] [DEBUG] 风行网 - 创建数据库连接完毕
[2017-01-20 20:00:25.708] [INFO] 风行网 - { bid: 608, platform: 34, fans_num: '1044' }
[2017-01-20 20:00:25.880] [DEBUG] 风行网 - 风行用户: 608 back_end
[2017-01-20 20:00:25.933] [DEBUG] 风行网 - 风行 8017512 加入缓存队列
[2017-01-20 20:00:26.023] [DEBUG] 风行网 - 风行 8014609 加入缓存队列
[2017-01-20 20:00:26.116] [DEBUG] 风行网 - 风行 8012401 加入缓存队列
[2017-01-20 20:00:26.213] [DEBUG] 风行网 - 风行 8012319 加入缓存队列
[2017-01-20 20:00:26.320] [DEBUG] 风行网 - 风行 8009731 加入缓存队列
[2017-01-20 20:00:26.416] [DEBUG] 风行网 - 风行 8002765 加入缓存队列
[2017-01-20 20:00:26.524] [DEBUG] 风行网 - 风行 8001168 加入缓存队列
[2017-01-20 20:00:26.613] [DEBUG] 风行网 - 风行 4530532 加入缓存队列
[2017-01-20 20:00:26.704] [DEBUG] 风行网 - 风行 4530503 加入缓存队列
[2017-01-20 20:00:26.804] [DEBUG] 风行网 - 风行 4530466 加入缓存队列
[2017-01-20 20:00:26.888] [DEBUG] 风行网 - 风行 4530446 加入缓存队列
[2017-01-20 20:00:27.004] [DEBUG] 风行网 - 风行 4530173 加入缓存队列
[2017-01-20 20:00:27.085] [DEBUG] 风行网 - 风行 4527929 加入缓存队列
[2017-01-20 20:00:27.164] [DEBUG] 风行网 - 风行 4525123 加入缓存队列
[2017-01-20 20:00:27.254] [DEBUG] 风行网 - 风行 4524100 加入缓存队列
[2017-01-20 20:00:27.357] [DEBUG] 风行网 - 风行 4522972 加入缓存队列
[2017-01-20 20:00:27.446] [DEBUG] 风行网 - 风行 4522265 加入缓存队列
[2017-01-20 20:00:27.535] [DEBUG] 风行网 - 风行 4521929 加入缓存队列
[2017-01-20 20:00:27.626] [DEBUG] 风行网 - 风行 4519749 加入缓存队列
[2017-01-20 20:00:27.716] [DEBUG] 风行网 - 风行 4518379 加入缓存队列
[2017-01-20 20:00:27.840] [DEBUG] 风行网 - 风行 4518233 加入缓存队列
[2017-01-20 20:00:27.929] [DEBUG] 风行网 - 风行 4517663 加入缓存队列
[2017-01-20 20:00:28.008] [DEBUG] 风行网 - 风行 4514764 加入缓存队列
[2017-01-20 20:00:28.107] [DEBUG] 风行网 - 风行 4513492 加入缓存队列
[2017-01-20 20:00:28.180] [DEBUG] 风行网 - 风行 4511483 加入缓存队列
[2017-01-20 20:00:28.263] [DEBUG] 风行网 - 风行 4510125 加入缓存队列
[2017-01-20 20:00:28.350] [DEBUG] 风行网 - 风行 4509617 加入缓存队列
[2017-01-20 20:00:28.434] [DEBUG] 风行网 - 风行 4508886 加入缓存队列
[2017-01-20 20:00:28.520] [DEBUG] 风行网 - 风行 4505000 加入缓存队列
[2017-01-20 20:00:28.612] [DEBUG] 风行网 - 风行 4501313 加入缓存队列
[2017-01-20 20:00:28.707] [DEBUG] 风行网 - 风行 4500266 加入缓存队列
[2017-01-20 20:00:28.799] [DEBUG] 风行网 - 风行 4498458 加入缓存队列
[2017-01-20 20:00:28.898] [DEBUG] 风行网 - 风行 4497680 加入缓存队列
[2017-01-20 20:00:28.980] [DEBUG] 风行网 - 风行 4491887 加入缓存队列
[2017-01-20 20:00:29.062] [DEBUG] 风行网 - 风行 4490522 加入缓存队列
[2017-01-20 20:00:29.151] [DEBUG] 风行网 - 风行 4490327 加入缓存队列
[2017-01-20 20:00:29.232] [DEBUG] 风行网 - 风行 4490324 加入缓存队列
[2017-01-20 20:00:29.355] [DEBUG] 风行网 - 风行 4490304 加入缓存队列
[2017-01-20 20:00:29.449] [DEBUG] 风行网 - 风行 4489270 加入缓存队列
[2017-01-20 20:00:29.559] [DEBUG] 风行网 - 风行 4487569 加入缓存队列
[2017-01-20 20:00:29.646] [DEBUG] 风行网 - 风行 4486287 加入缓存队列
[2017-01-20 20:00:29.725] [DEBUG] 风行网 - 风行 4485583 加入缓存队列
[2017-01-20 20:00:29.833] [DEBUG] 风行网 - 风行 4485379 加入缓存队列
[2017-01-20 20:00:29.920] [DEBUG] 风行网 - 风行 4485321 加入缓存队列
[2017-01-20 20:00:30.003] [DEBUG] 风行网 - 风行 4483291 加入缓存队列
[2017-01-20 20:00:30.086] [DEBUG] 风行网 - 风行 4480990 加入缓存队列
[2017-01-20 20:00:30.183] [DEBUG] 风行网 - 风行 4479277 加入缓存队列
[2017-01-20 20:00:30.263] [DEBUG] 风行网 - 风行 4477810 加入缓存队列
[2017-01-20 20:00:30.396] [DEBUG] 风行网 - 风行 4477240 加入缓存队列
[2017-01-20 20:00:30.428] [DEBUG] 风行网 - 风行 4477021 加入缓存队列
[2017-01-20 20:00:30.743] [DEBUG] 风行网 - 风行 9082163 加入缓存队列
[2017-01-20 20:00:30.827] [DEBUG] 风行网 - 风行 9021039 加入缓存队列
[2017-01-20 20:00:30.896] [DEBUG] 风行网 - 风行 8964715 加入缓存队列
[2017-01-20 20:00:30.989] [DEBUG] 风行网 - 风行 8924411 加入缓存队列
[2017-01-20 20:00:31.079] [DEBUG] 风行网 - 风行 8837429 加入缓存队列
[2017-01-20 20:00:31.163] [DEBUG] 风行网 - 风行 8818471 加入缓存队列
[2017-01-20 20:00:31.244] [DEBUG] 风行网 - 风行 8783725 加入缓存队列
[2017-01-20 20:00:31.339] [DEBUG] 风行网 - 风行 8734015 加入缓存队列
[2017-01-20 20:00:31.430] [DEBUG] 风行网 - 风行 8691047 加入缓存队列
[2017-01-20 20:00:31.504] [DEBUG] 风行网 - 风行 8665873 加入缓存队列
[2017-01-20 20:00:31.595] [DEBUG] 风行网 - 风行 8640481 加入缓存队列
[2017-01-20 20:00:31.689] [DEBUG] 风行网 - 风行 8627345 加入缓存队列
[2017-01-20 20:00:31.794] [DEBUG] 风行网 - 风行 8625073 加入缓存队列
[2017-01-20 20:00:31.902] [DEBUG] 风行网 - 风行 8617787 加入缓存队列
