[2017-01-22 14:12:53.892] [TRACE] 风行网 - DealWith instantiation ...
[2017-01-22 14:12:53.908] [TRACE] 风行网 - spiderCore instantiation ...
[2017-01-22 14:12:53.908] [TRACE] 风行网 - 启动函数
[2017-01-22 14:12:53.978] [DEBUG] 风行网 - 任务信息数据库连接建立...成功
[2017-01-22 14:12:53.998] [DEBUG] 风行网 - 缓存队列数据库连接建立...成功
[2017-01-22 14:12:54.003] [DEBUG] 风行网 - 创建数据库连接完毕
[2017-01-22 14:12:54.806] [INFO] 风行网 - { bid: 608, platform: 34, fans_num: '1044' }
[2017-01-22 14:12:54.949] [DEBUG] 风行网 - 风行用户: 608 back_end
[2017-01-22 14:12:54.951] [DEBUG] 风行网 - 风行 8017512 加入缓存队列
[2017-01-22 14:12:55.035] [DEBUG] 风行网 - 风行 8014609 加入缓存队列
[2017-01-22 14:12:55.127] [DEBUG] 风行网 - 风行 8012401 加入缓存队列
[2017-01-22 14:12:55.205] [DEBUG] 风行网 - 风行 8012319 加入缓存队列
[2017-01-22 14:12:55.283] [DEBUG] 风行网 - 风行 8009731 加入缓存队列
[2017-01-22 14:12:55.365] [DEBUG] 风行网 - 风行 8002765 加入缓存队列
[2017-01-22 14:12:55.457] [DEBUG] 风行网 - 风行 8001168 加入缓存队列
[2017-01-22 14:12:55.535] [DEBUG] 风行网 - 风行 4530532 加入缓存队列
[2017-01-22 14:12:55.629] [DEBUG] 风行网 - 风行 4530503 加入缓存队列
[2017-01-22 14:12:55.722] [DEBUG] 风行网 - 风行 4530466 加入缓存队列
[2017-01-22 14:12:55.800] [DEBUG] 风行网 - 风行 4530446 加入缓存队列
[2017-01-22 14:12:55.878] [DEBUG] 风行网 - 风行 4530173 加入缓存队列
[2017-01-22 14:12:55.972] [DEBUG] 风行网 - 风行 4527929 加入缓存队列
[2017-01-22 14:12:56.065] [DEBUG] 风行网 - 风行 4525123 加入缓存队列
[2017-01-22 14:12:56.143] [DEBUG] 风行网 - 风行 4524100 加入缓存队列
[2017-01-22 14:12:56.221] [DEBUG] 风行网 - 风行 4522972 加入缓存队列
[2017-01-22 14:12:56.331] [DEBUG] 风行网 - 风行 4522265 加入缓存队列
[2017-01-22 14:12:56.424] [DEBUG] 风行网 - 风行 4521929 加入缓存队列
[2017-01-22 14:12:56.518] [DEBUG] 风行网 - 风行 4519749 加入缓存队列
[2017-01-22 14:12:56.596] [DEBUG] 风行网 - 风行 4518379 加入缓存队列
[2017-01-22 14:12:56.689] [DEBUG] 风行网 - 风行 4518233 加入缓存队列
[2017-01-22 14:12:56.783] [DEBUG] 风行网 - 风行 4517663 加入缓存队列
[2017-01-22 14:12:56.861] [DEBUG] 风行网 - 风行 4514764 加入缓存队列
[2017-01-22 14:12:56.970] [DEBUG] 风行网 - 风行 4513492 加入缓存队列
[2017-01-22 14:12:57.048] [DEBUG] 风行网 - 风行 4511483 加入缓存队列
[2017-01-22 14:12:57.142] [DEBUG] 风行网 - 风行 4510125 加入缓存队列
[2017-01-22 14:12:57.235] [DEBUG] 风行网 - 风行 4509617 加入缓存队列
[2017-01-22 14:12:57.329] [DEBUG] 风行网 - 风行 4508886 加入缓存队列
[2017-01-22 14:12:57.407] [DEBUG] 风行网 - 风行 4505000 加入缓存队列
[2017-01-22 14:12:57.516] [DEBUG] 风行网 - 风行 4501313 加入缓存队列
[2017-01-22 14:12:57.610] [DEBUG] 风行网 - 风行 4500266 加入缓存队列
[2017-01-22 14:12:57.703] [DEBUG] 风行网 - 风行 4498458 加入缓存队列
[2017-01-22 14:12:57.781] [DEBUG] 风行网 - 风行 4497680 加入缓存队列
[2017-01-22 14:12:57.859] [DEBUG] 风行网 - 风行 4491887 加入缓存队列
[2017-01-22 14:12:57.953] [DEBUG] 风行网 - 风行 4490522 加入缓存队列
[2017-01-22 14:12:58.047] [DEBUG] 风行网 - 风行 4490327 加入缓存队列
[2017-01-22 14:12:58.125] [DEBUG] 风行网 - 风行 4490324 加入缓存队列
[2017-01-22 14:12:58.234] [DEBUG] 风行网 - 风行 4490304 加入缓存队列
[2017-01-22 14:12:58.327] [DEBUG] 风行网 - 风行 4489270 加入缓存队列
[2017-01-22 14:12:58.421] [DEBUG] 风行网 - 风行 4487569 加入缓存队列
[2017-01-22 14:12:58.515] [DEBUG] 风行网 - 风行 4486287 加入缓存队列
[2017-01-22 14:12:58.639] [DEBUG] 风行网 - 风行 4485583 加入缓存队列
[2017-01-22 14:12:58.733] [DEBUG] 风行网 - 风行 4485379 加入缓存队列
[2017-01-22 14:12:58.811] [DEBUG] 风行网 - 风行 4485321 加入缓存队列
[2017-01-22 14:12:59.011] [DEBUG] 风行网 - 风行 4483291 加入缓存队列
[2017-01-22 14:12:59.105] [DEBUG] 风行网 - 风行 4480990 加入缓存队列
[2017-01-22 14:12:59.199] [DEBUG] 风行网 - 风行 4479277 加入缓存队列
[2017-01-22 14:12:59.280] [DEBUG] 风行网 - 风行 4477810 加入缓存队列
[2017-01-22 14:12:59.363] [DEBUG] 风行网 - 风行 4477240 加入缓存队列
[2017-01-22 14:12:59.455] [DEBUG] 风行网 - 风行 4477021 加入缓存队列
[2017-01-22 14:12:59.786] [DEBUG] 风行网 - 风行 9082163 加入缓存队列
