[2017-01-22 14:07:25.577] [TRACE] 风行网 - DealWith instantiation ...
[2017-01-22 14:07:25.592] [TRACE] 风行网 - spiderCore instantiation ...
[2017-01-22 14:07:25.592] [TRACE] 风行网 - 启动函数
[2017-01-22 14:07:25.608] [DEBUG] 风行网 - 任务信息数据库连接建立...成功
[2017-01-22 14:07:25.623] [DEBUG] 风行网 - 缓存队列数据库连接建立...成功
[2017-01-22 14:07:25.623] [DEBUG] 风行网 - 创建数据库连接完毕
[2017-01-22 14:07:26.325] [DEBUG] 风行网 - 风行 876171 加入缓存队列
[2017-01-22 14:07:27.636] [DEBUG] 风行网 - 风行 875873 加入缓存队列
[2017-01-22 14:07:28.073] [DEBUG] 风行网 - 风行 875317 加入缓存队列
[2017-01-22 14:07:28.494] [DEBUG] 风行网 - 风行 874919 加入缓存队列
[2017-01-22 14:07:29.135] [DEBUG] 风行网 - 风行 874913 加入缓存队列
[2017-01-22 14:07:29.605] [DEBUG] 风行网 - 风行 874735 加入缓存队列
[2017-01-22 14:07:30.064] [DEBUG] 风行网 - 风行 874661 加入缓存队列
[2017-01-22 14:07:30.533] [DEBUG] 风行网 - 风行 874405 加入缓存队列
[2017-01-22 14:07:31.048] [DEBUG] 风行网 - 风行 874105 加入缓存队列
[2017-01-22 14:07:31.859] [DEBUG] 风行网 - 风行 873881 加入缓存队列
[2017-01-22 14:07:32.639] [DEBUG] 风行网 - 风行 873425 加入缓存队列
[2017-01-22 14:07:33.356] [DEBUG] 风行网 - 风行 873421 加入缓存队列
[2017-01-22 14:07:34.157] [DEBUG] 风行网 - 风行 873273 加入缓存队列
[2017-01-22 14:07:34.931] [DEBUG] 风行网 - 风行 873259 加入缓存队列
[2017-01-22 14:07:35.667] [DEBUG] 风行网 - 风行 872949 加入缓存队列
[2017-01-22 14:07:36.400] [DEBUG] 风行网 - 风行 872555 加入缓存队列
[2017-01-22 14:07:37.118] [DEBUG] 风行网 - 风行 872327 加入缓存队列
[2017-01-22 14:07:37.882] [DEBUG] 风行网 - 风行 872329 加入缓存队列
[2017-01-22 14:07:38.631] [DEBUG] 风行网 - 风行 872099 加入缓存队列
[2017-01-22 14:07:39.344] [DEBUG] 风行网 - 风行 872547 加入缓存队列
[2017-01-22 14:07:40.102] [DEBUG] 风行网 - 风行 871707 加入缓存队列
[2017-01-22 14:07:41.156] [DEBUG] 风行网 - 风行 871581 加入缓存队列
[2017-01-22 14:07:41.951] [DEBUG] 风行网 - 风行 871015 加入缓存队列
[2017-01-22 14:07:42.703] [DEBUG] 风行网 - 风行 870529 加入缓存队列
[2017-01-22 14:07:43.703] [DEBUG] 风行网 - 风行 870523 加入缓存队列
[2017-01-22 14:07:44.439] [DEBUG] 风行网 - 风行 870265 加入缓存队列
[2017-01-22 14:07:45.243] [DEBUG] 风行网 - 风行 870255 加入缓存队列
[2017-01-22 14:07:46.198] [DEBUG] 风行网 - 风行 869859 加入缓存队列
